"Statistic Label","Year","Age Group","Sex","Education Attainment Level","UNIT","VALUE"
"Annual percentage of part-time work","2019","20 - 24 years","Male","Tertiary education (Levels 5-8)","%","17.3"
"Annual percentage of part-time work","2019","20 - 24 years","Male","Level of education - not stated","%",""
"Annual percentage of part-time work","2019","20 - 24 years","Female","Levels of Education (Levels  0-8)","%","40.1"
"Annual percentage of part-time work","2019","20 - 24 years","Female","Less than primary (Level 0)","%",""
"Annual percentage of part-time work","2019","20 - 24 years","Female","Primary and lower secondary education (Levels 1-2)","%",""
"Annual percentage of part-time work","2019","20 - 24 years","Female","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","%","52.2"
"Annual percentage of part-time work","2019","20 - 24 years","Female","Tertiary education (Levels 5-8)","%","21.6"
"Annual percentage of part-time work","2019","20 - 24 years","Female","Level of education - not stated","%",""
"Annual percentage of part-time work","2019","25 - 29 years","Both sexes","Levels of Education (Levels  0-8)","%","13.2"
"Annual percentage of part-time work","2019","25 - 29 years","Both sexes","Less than primary (Level 0)","%",""
"Annual percentage of part-time work","2019","25 - 29 years","Both sexes","Primary and lower secondary education (Levels 1-2)","%","31.5"
"Annual percentage of part-time work","2019","25 - 29 years","Both sexes","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","%","18.6"
"Annual percentage of part-time work","2019","25 - 29 years","Both sexes","Tertiary education (Levels 5-8)","%","8.7"
"Annual percentage of part-time work","2019","25 - 29 years","Both sexes","Level of education - not stated","%","17.2"
"Annual percentage of part-time work","2019","25 - 29 years","Male","Levels of Education (Levels  0-8)","%","8.5"
"Annual percentage of part-time work","2019","25 - 29 years","Male","Less than primary (Level 0)","%",""
"Annual percentage of part-time work","2019","25 - 29 years","Male","Primary and lower secondary education (Levels 1-2)","%",""
"Annual percentage of part-time work","2019","25 - 29 years","Male","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","%","9.8"
"Annual percentage of part-time work","2019","25 - 29 years","Male","Tertiary education (Levels 5-8)","%","6.4"
"Annual percentage of part-time work","2019","25 - 29 years","Male","Level of education - not stated","%",""
"Annual percentage of part-time work","2019","25 - 29 years","Female","Levels of Education (Levels  0-8)","%","18.4"
"Annual percentage of part-time work","2019","25 - 29 years","Female","Less than primary (Level 0)","%",""
"Annual percentage of part-time work","2019","25 - 29 years","Female","Primary and lower secondary education (Levels 1-2)","%",""
"Annual percentage of part-time work","2019","25 - 29 years","Female","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","%","30.5"
"Annual percentage of part-time work","2019","25 - 29 years","Female","Tertiary education (Levels 5-8)","%","10.9"
"Annual percentage of part-time work","2019","25 - 29 years","Female","Level of education - not stated","%",""
"Annual percentage of part-time work","2019","30 - 34 years","Both sexes","Levels of Education (Levels  0-8)","%","12.5"
"Annual percentage of part-time work","2019","30 - 34 years","Both sexes","Less than primary (Level 0)","%",""
"Annual percentage of part-time work","2019","30 - 34 years","Both sexes","Primary and lower secondary education (Levels 1-2)","%","26.5"
"Annual percentage of part-time work","2019","30 - 34 years","Both sexes","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","%","17.2"
"Annual percentage of part-time work","2019","30 - 34 years","Both sexes","Tertiary education (Levels 5-8)","%","8.5"
"Annual percentage of part-time work","2019","30 - 34 years","Both sexes","Level of education - not stated","%",""
"Annual percentage of part-time work","2019","30 - 34 years","Male","Levels of Education (Levels  0-8)","%","5.6"
"Annual percentage of part-time work","2019","30 - 34 years","Male","Less than primary (Level 0)","%",""
"Annual percentage of part-time work","2019","30 - 34 years","Male","Primary and lower secondary education (Levels 1-2)","%","18.4"
"Annual percentage of part-time work","2019","30 - 34 years","Male","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","%","5.1"
"Annual percentage of part-time work","2019","30 - 34 years","Male","Tertiary education (Levels 5-8)","%","4"
"Annual percentage of part-time work","2019","30 - 34 years","Male","Level of education - not stated","%",""
"Annual percentage of part-time work","2019","30 - 34 years","Female","Levels of Education (Levels  0-8)","%","20.1"
"Annual percentage of part-time work","2019","30 - 34 years","Female","Less than primary (Level 0)","%",""
"Annual percentage of part-time work","2019","30 - 34 years","Female","Primary and lower secondary education (Levels 1-2)","%","46.9"
"Annual percentage of part-time work","2019","30 - 34 years","Female","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","%","34.9"
"Annual percentage of part-time work","2019","30 - 34 years","Female","Tertiary education (Levels 5-8)","%","12.5"
"Annual percentage of part-time work","2019","30 - 34 years","Female","Level of education - not stated","%",""
"Annual percentage of part-time work","2019","35 - 39 years","Both sexes","Levels of Education (Levels  0-8)","%","13.8"
"Annual percentage of part-time work","2019","35 - 39 years","Both sexes","Less than primary (Level 0)","%",""
"Annual percentage of part-time work","2019","35 - 39 years","Both sexes","Primary and lower secondary education (Levels 1-2)","%","18.7"
"Annual percentage of part-time work","2019","35 - 39 years","Both sexes","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","%","16.9"
"Annual percentage of part-time work","2019","35 - 39 years","Both sexes","Tertiary education (Levels 5-8)","%","11.7"
"Annual percentage of part-time work","2019","35 - 39 years","Both sexes","Level of education - not stated","%",""
"Annual percentage of part-time work","2019","35 - 39 years","Male","Levels of Education (Levels  0-8)","%","4.1"
"Annual percentage of part-time work","2019","35 - 39 years","Male","Less than primary (Level 0)","%",""
"Annual percentage of part-time work","2019","35 - 39 years","Male","Primary and lower secondary education (Levels 1-2)","%",""
"Annual percentage of part-time work","2019","35 - 39 years","Male","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","%","4.8"
"Annual percentage of part-time work","2019","35 - 39 years","Male","Tertiary education (Levels 5-8)","%","3.1"
"Annual percentage of part-time work","2019","35 - 39 years","Male","Level of education - not stated","%",""
"Annual percentage of part-time work","2019","35 - 39 years","Female","Levels of Education (Levels  0-8)","%","24.8"
"Annual percentage of part-time work","2019","35 - 39 years","Female","Less than primary (Level 0)","%",""
"Annual percentage of part-time work","2019","35 - 39 years","Female","Primary and lower secondary education (Levels 1-2)","%","43.8"
"Annual percentage of part-time work","2019","35 - 39 years","Female","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","%","36.4"
"Annual percentage of part-time work","2019","35 - 39 years","Female","Tertiary education (Levels 5-8)","%","18.9"
"Annual percentage of part-time work","2019","35 - 39 years","Female","Level of education - not stated","%",""
"Annual percentage of part-time work","2019","40 - 44 years","Both sexes","Levels of Education (Levels  0-8)","%","15.5"
"Annual percentage of part-time work","2019","40 - 44 years","Both sexes","Less than primary (Level 0)","%",""
"Annual percentage of part-time work","2019","40 - 44 years","Both sexes","Primary and lower secondary education (Levels 1-2)","%","24.3"
"Annual percentage of part-time work","2019","40 - 44 years","Both sexes","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","%","16.7"
"Annual percentage of part-time work","2019","40 - 44 years","Both sexes","Tertiary education (Levels 5-8)","%","13.7"
"Annual percentage of part-time work","2019","40 - 44 years","Both sexes","Level of education - not stated","%","14.5"
"Annual percentage of part-time work","2019","40 - 44 years","Male","Levels of Education (Levels  0-8)","%","4"
"Annual percentage of part-time work","2019","40 - 44 years","Male","Less than primary (Level 0)","%",""
"Annual percentage of part-time work","2019","40 - 44 years","Male","Primary and lower secondary education (Levels 1-2)","%","11.1"
"Annual percentage of part-time work","2019","40 - 44 years","Male","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","%","4.7"
"Annual percentage of part-time work","2019","40 - 44 years","Male","Tertiary education (Levels 5-8)","%","2.2"
"Annual percentage of part-time work","2019","40 - 44 years","Male","Level of education - not stated","%",""
"Annual percentage of part-time work","2019","40 - 44 years","Female","Levels of Education (Levels  0-8)","%","28.6"
"Annual percentage of part-time work","2019","40 - 44 years","Female","Less than primary (Level 0)","%",""
"Annual percentage of part-time work","2019","40 - 44 years","Female","Primary and lower secondary education (Levels 1-2)","%","53.4"
"Annual percentage of part-time work","2019","40 - 44 years","Female","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","%","35.1"
"Annual percentage of part-time work","2019","40 - 44 years","Female","Tertiary education (Levels 5-8)","%","23.8"
"Annual percentage of part-time work","2019","40 - 44 years","Female","Level of education - not stated","%",""
"Annual percentage of part-time work","2019","45 - 49 years","Both sexes","Levels of Education (Levels  0-8)","%","15.9"
"Annual percentage of part-time work","2019","45 - 49 years","Both sexes","Less than primary (Level 0)","%",""
"Annual percentage of part-time work","2019","45 - 49 years","Both sexes","Primary and lower secondary education (Levels 1-2)","%","19.7"
"Annual percentage of part-time work","2019","45 - 49 years","Both sexes","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","%","18.3"
"Annual percentage of part-time work","2019","45 - 49 years","Both sexes","Tertiary education (Levels 5-8)","%","13.5"
"Annual percentage of part-time work","2019","45 - 49 years","Both sexes","Level of education - not stated","%",""
"Annual percentage of part-time work","2019","45 - 49 years","Male","Levels of Education (Levels  0-8)","%","5.3"
"Annual percentage of part-time work","2019","45 - 49 years","Male","Less than primary (Level 0)","%",""
"Annual percentage of part-time work","2019","45 - 49 years","Male","Primary and lower secondary education (Levels 1-2)","%","11.4"
"Annual percentage of part-time work","2019","45 - 49 years","Male","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","%","5.5"
"Annual percentage of part-time work","2019","45 - 49 years","Male","Tertiary education (Levels 5-8)","%","3.3"
"Annual percentage of part-time work","2019","45 - 49 years","Male","Level of education - not stated","%",""
"Annual percentage of part-time work","2019","45 - 49 years","Female","Levels of Education (Levels  0-8)","%","28.2"
"Annual percentage of part-time work","2019","45 - 49 years","Female","Less than primary (Level 0)","%",""
"Annual percentage of part-time work","2019","45 - 49 years","Female","Primary and lower secondary education (Levels 1-2)","%","40.3"
"Annual percentage of part-time work","2019","45 - 49 years","Female","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","%","34.7"
"Annual percentage of part-time work","2019","45 - 49 years","Female","Tertiary education (Levels 5-8)","%","23.1"
"Annual percentage of part-time work","2019","45 - 49 years","Female","Level of education - not stated","%",""
"Annual percentage of part-time work","2019","50 - 54 years","Both sexes","Levels of Education (Levels  0-8)","%","19.2"
"Annual percentage of part-time work","2019","50 - 54 years","Both sexes","Less than primary (Level 0)","%",""
"Annual percentage of part-time work","2019","50 - 54 years","Both sexes","Primary and lower secondary education (Levels 1-2)","%","23.5"
"Annual percentage of part-time work","2019","50 - 54 years","Both sexes","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","%","22.4"
"Annual percentage of part-time work","2019","50 - 54 years","Both sexes","Tertiary education (Levels 5-8)","%","15"
"Annual percentage of part-time work","2019","50 - 54 years","Both sexes","Level of education - not stated","%","18.9"
"Annual percentage of part-time work","2019","50 - 54 years","Male","Levels of Education (Levels  0-8)","%","7"
"Annual percentage of part-time work","2019","50 - 54 years","Male","Less than primary (Level 0)","%",""
"Annual percentage of part-time work","2019","50 - 54 years","Male","Primary and lower secondary education (Levels 1-2)","%","13.4"
"Annual percentage of part-time work","2019","50 - 54 years","Male","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","%","7.5"
"Annual percentage of part-time work","2019","50 - 54 years","Male","Tertiary education (Levels 5-8)","%","3"
"Annual percentage of part-time work","2019","50 - 54 years","Male","Level of education - not stated","%",""
"Annual percentage of part-time work","2019","50 - 54 years","Female","Levels of Education (Levels  0-8)","%","34.1"
"Annual percentage of part-time work","2019","50 - 54 years","Female","Less than primary (Level 0)","%",""
"Annual percentage of part-time work","2019","50 - 54 years","Female","Primary and lower secondary education (Levels 1-2)","%","49.9"
"Annual percentage of part-time work","2019","50 - 54 years","Female","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","%","39.3"
"Annual percentage of part-time work","2019","50 - 54 years","Female","Tertiary education (Levels 5-8)","%","27.2"
"Annual percentage of part-time work","2019","50 - 54 years","Female","Level of education - not stated","%",""
"Annual percentage of part-time work","2019","55 - 59 years","Both sexes","Levels of Education (Levels  0-8)","%","21.2"
"Annual percentage of part-time work","2019","55 - 59 years","Both sexes","Less than primary (Level 0)","%",""
"Annual percentage of part-time work","2019","55 - 59 years","Both sexes","Primary and lower secondary education (Levels 1-2)","%","28.9"
"Annual percentage of part-time work","2019","55 - 59 years","Both sexes","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","%","21.7"
"Annual percentage of part-time work","2019","55 - 59 years","Both sexes","Tertiary education (Levels 5-8)","%","16.7"
"Annual percentage of part-time work","2019","55 - 59 years","Both sexes","Level of education - not stated","%",""
"Annual percentage of part-time work","2019","55 - 59 years","Male","Levels of Education (Levels  0-8)","%","9.2"
"Annual percentage of part-time work","2019","55 - 59 years","Male","Less than primary (Level 0)","%",""
"Annual percentage of part-time work","2019","55 - 59 years","Male","Primary and lower secondary education (Levels 1-2)","%","15.1"
"Annual percentage of part-time work","2019","55 - 59 years","Male","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","%","9.3"
"Annual percentage of part-time work","2019","55 - 59 years","Male","Tertiary education (Levels 5-8)","%","4.4"
"Annual percentage of part-time work","2019","55 - 59 years","Male","Level of education - not stated","%",""
"Annual percentage of part-time work","2019","55 - 59 years","Female","Levels of Education (Levels  0-8)","%","36.1"
"Annual percentage of part-time work","2019","55 - 59 years","Female","Less than primary (Level 0)","%",""
"Annual percentage of part-time work","2019","55 - 59 years","Female","Primary and lower secondary education (Levels 1-2)","%","58.1"
"Annual percentage of part-time work","2019","55 - 59 years","Female","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","%","34.7"
"Annual percentage of part-time work","2019","55 - 59 years","Female","Tertiary education (Levels 5-8)","%","29.7"
"Annual percentage of part-time work","2019","55 - 59 years","Female","Level of education - not stated","%",""
"Annual percentage of part-time work","2019","60 - 64 years","Both sexes","Levels of Education (Levels  0-8)","%","27.8"
"Annual percentage of part-time work","2019","60 - 64 years","Both sexes","Less than primary (Level 0)","%",""
"Annual percentage of part-time work","2019","60 - 64 years","Both sexes","Primary and lower secondary education (Levels 1-2)","%","27.5"
"Annual percentage of part-time work","2019","60 - 64 years","Both sexes","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","%","26.9"
"Annual percentage of part-time work","2019","60 - 64 years","Both sexes","Tertiary education (Levels 5-8)","%","29.2"
"Annual percentage of part-time work","2019","60 - 64 years","Both sexes","Level of education - not stated","%",""
"Annual percentage of part-time work","2019","60 - 64 years","Male","Levels of Education (Levels  0-8)","%","16"
"Annual percentage of part-time work","2019","60 - 64 years","Male","Less than primary (Level 0)","%",""
"Annual percentage of part-time work","2019","60 - 64 years","Male","Primary and lower secondary education (Levels 1-2)","%","17.3"
"Annual percentage of part-time work","2019","60 - 64 years","Male","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","%","14.1"
"Annual percentage of part-time work","2019","60 - 64 years","Male","Tertiary education (Levels 5-8)","%","15.8"
"Annual percentage of part-time work","2019","60 - 64 years","Male","Level of education - not stated","%",""
"Annual percentage of part-time work","2019","60 - 64 years","Female","Levels of Education (Levels  0-8)","%","43.2"
"Annual percentage of part-time work","2019","60 - 64 years","Female","Less than primary (Level 0)","%",""
"Annual percentage of part-time work","2019","60 - 64 years","Female","Primary and lower secondary education (Levels 1-2)","%","49.6"
"Annual percentage of part-time work","2019","60 - 64 years","Female","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","%","41.9"
"Annual percentage of part-time work","2019","60 - 64 years","Female","Tertiary education (Levels 5-8)","%","41.7"
"Annual percentage of part-time work","2019","60 - 64 years","Female","Level of education - not stated","%",""
"Annual percentage of part-time work","2020","All ages","Both sexes","Levels of Education (Levels  0-8)","%","16.4"
"Annual percentage of part-time work","2020","All ages","Both sexes","Less than primary (Level 0)","%",""
"Annual percentage of part-time work","2020","All ages","Both sexes","Primary and lower secondary education (Levels 1-2)","%","21.2"
"Annual percentage of part-time work","2020","All ages","Both sexes","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","%","21.6"
"Annual percentage of part-time work","2020","All ages","Both sexes","Tertiary education (Levels 5-8)","%","12.3"
"Annual percentage of part-time work","2020","All ages","Both sexes","Level of education - not stated","%","13.8"
"Annual percentage of part-time work","2020","All ages","Male","Levels of Education (Levels  0-8)","%","8"
"Annual percentage of part-time work","2020","All ages","Male","Less than primary (Level 0)","%",""
"Annual percentage of part-time work","2020","All ages","Male","Primary and lower secondary education (Levels 1-2)","%","11.4"
"Annual percentage of part-time work","2020","All ages","Male","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","%","10.6"
"Annual percentage of part-time work","2020","All ages","Male","Tertiary education (Levels 5-8)","%","4.9"
"Annual percentage of part-time work","2020","All ages","Male","Level of education - not stated","%","9.1"
"Annual percentage of part-time work","2020","All ages","Female","Levels of Education (Levels  0-8)","%","26.3"
"Annual percentage of part-time work","2020","All ages","Female","Less than primary (Level 0)","%",""
"Annual percentage of part-time work","2020","All ages","Female","Primary and lower secondary education (Levels 1-2)","%","44.8"
"Annual percentage of part-time work","2020","All ages","Female","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","%","36.8"
"Annual percentage of part-time work","2020","All ages","Female","Tertiary education (Levels 5-8)","%","19.2"
"Annual percentage of part-time work","2020","All ages","Female","Level of education - not stated","%","20.1"
"Annual percentage of part-time work","2020","20 - 24 years","Both sexes","Levels of Education (Levels  0-8)","%","33.8"
"Annual percentage of part-time work","2020","20 - 24 years","Both sexes","Less than primary (Level 0)","%",""
"Annual percentage of part-time work","2020","20 - 24 years","Both sexes","Primary and lower secondary education (Levels 1-2)","%",""
"Annual percentage of part-time work","2020","20 - 24 years","Both sexes","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","%","41.3"
"Annual percentage of part-time work","2020","20 - 24 years","Both sexes","Tertiary education (Levels 5-8)","%","20.9"
"Annual percentage of part-time work","2020","20 - 24 years","Both sexes","Level of education - not stated","%",""
"Annual percentage of part-time work","2020","20 - 24 years","Male","Levels of Education (Levels  0-8)","%","27.9"
"Annual percentage of part-time work","2020","20 - 24 years","Male","Less than primary (Level 0)","%",""
"Annual percentage of part-time work","2020","20 - 24 years","Male","Primary and lower secondary education (Levels 1-2)","%",""
"Annual percentage of part-time work","2020","20 - 24 years","Male","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","%","32.6"
"Annual percentage of part-time work","2020","20 - 24 years","Male","Tertiary education (Levels 5-8)","%","17.7"
"Annual percentage of part-time work","2020","20 - 24 years","Male","Level of education - not stated","%",""
"Annual percentage of part-time work","2020","20 - 24 years","Female","Levels of Education (Levels  0-8)","%","40.1"
"Annual percentage of part-time work","2020","20 - 24 years","Female","Less than primary (Level 0)","%",""
"Annual percentage of part-time work","2020","20 - 24 years","Female","Primary and lower secondary education (Levels 1-2)","%",""
"Annual percentage of part-time work","2020","20 - 24 years","Female","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","%","52.4"
"Annual percentage of part-time work","2020","20 - 24 years","Female","Tertiary education (Levels 5-8)","%","23.4"
"Annual percentage of part-time work","2020","20 - 24 years","Female","Level of education - not stated","%",""
"Annual percentage of part-time work","2020","25 - 29 years","Both sexes","Levels of Education (Levels  0-8)","%","10.6"
"Annual percentage of part-time work","2020","25 - 29 years","Both sexes","Less than primary (Level 0)","%",""
"Annual percentage of part-time work","2020","25 - 29 years","Both sexes","Primary and lower secondary education (Levels 1-2)","%",""
"Annual percentage of part-time work","2020","25 - 29 years","Both sexes","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","%","14.8"
"Annual percentage of part-time work","2020","25 - 29 years","Both sexes","Tertiary education (Levels 5-8)","%","7.6"
"Annual percentage of part-time work","2020","25 - 29 years","Both sexes","Level of education - not stated","%",""
"Annual percentage of part-time work","2020","25 - 29 years","Male","Levels of Education (Levels  0-8)","%","7.6"
"Annual percentage of part-time work","2020","25 - 29 years","Male","Less than primary (Level 0)","%",""
"Annual percentage of part-time work","2020","25 - 29 years","Male","Primary and lower secondary education (Levels 1-2)","%",""
"Annual percentage of part-time work","2020","25 - 29 years","Male","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","%","8.2"
"Annual percentage of part-time work","2020","25 - 29 years","Male","Tertiary education (Levels 5-8)","%","6"
"Annual percentage of part-time work","2020","25 - 29 years","Male","Level of education - not stated","%",""
"Annual percentage of part-time work","2020","25 - 29 years","Female","Levels of Education (Levels  0-8)","%","13.9"
"Annual percentage of part-time work","2020","25 - 29 years","Female","Less than primary (Level 0)","%",""
"Annual percentage of part-time work","2020","25 - 29 years","Female","Primary and lower secondary education (Levels 1-2)","%",""
"Annual percentage of part-time work","2020","25 - 29 years","Female","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","%","25.7"
"Annual percentage of part-time work","2020","25 - 29 years","Female","Tertiary education (Levels 5-8)","%","9.1"
"Annual percentage of part-time work","2020","25 - 29 years","Female","Level of education - not stated","%",""
"Annual percentage of part-time work","2020","30 - 34 years","Both sexes","Levels of Education (Levels  0-8)","%","10.1"
"Annual percentage of part-time work","2020","30 - 34 years","Both sexes","Less than primary (Level 0)","%",""
"Annual percentage of part-time work","2020","30 - 34 years","Both sexes","Primary and lower secondary education (Levels 1-2)","%","18"
"Annual percentage of part-time work","2020","30 - 34 years","Both sexes","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","%","15"
"Annual percentage of part-time work","2020","30 - 34 years","Both sexes","Tertiary education (Levels 5-8)","%","7.3"
"Annual percentage of part-time work","2020","30 - 34 years","Both sexes","Level of education - not stated","%",""
"Annual percentage of part-time work","2020","30 - 34 years","Male","Levels of Education (Levels  0-8)","%","4.7"
"Annual percentage of part-time work","2020","30 - 34 years","Male","Less than primary (Level 0)","%",""
"Annual percentage of part-time work","2020","30 - 34 years","Male","Primary and lower secondary education (Levels 1-2)","%",""
"Annual percentage of part-time work","2020","30 - 34 years","Male","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","%","5.2"
"Annual percentage of part-time work","2020","30 - 34 years","Male","Tertiary education (Levels 5-8)","%","3.7"
"Annual percentage of part-time work","2020","30 - 34 years","Male","Level of education - not stated","%",""
"Annual percentage of part-time work","2020","30 - 34 years","Female","Levels of Education (Levels  0-8)","%","16.2"
"Annual percentage of part-time work","2020","30 - 34 years","Female","Less than primary (Level 0)","%",""
"Annual percentage of part-time work","2020","30 - 34 years","Female","Primary and lower secondary education (Levels 1-2)","%",""
"Annual percentage of part-time work","2020","30 - 34 years","Female","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","%","30.3"
"Annual percentage of part-time work","2020","30 - 34 years","Female","Tertiary education (Levels 5-8)","%","10.6"
"Annual percentage of part-time work","2020","30 - 34 years","Female","Level of education - not stated","%",""
"Annual percentage of part-time work","2020","35 - 39 years","Both sexes","Levels of Education (Levels  0-8)","%","12"
"Annual percentage of part-time work","2020","35 - 39 years","Both sexes","Less than primary (Level 0)","%",""
"Annual percentage of part-time work","2020","35 - 39 years","Both sexes","Primary and lower secondary education (Levels 1-2)","%","18"
"Annual percentage of part-time work","2020","35 - 39 years","Both sexes","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","%","16.4"
"Annual percentage of part-time work","2020","35 - 39 years","Both sexes","Tertiary education (Levels 5-8)","%","9.4"
"Annual percentage of part-time work","2020","35 - 39 years","Both sexes","Level of education - not stated","%",""
"Annual percentage of part-time work","2020","35 - 39 years","Male","Levels of Education (Levels  0-8)","%","3.4"
"Annual percentage of part-time work","2020","35 - 39 years","Male","Less than primary (Level 0)","%",""
"Annual percentage of part-time work","2020","35 - 39 years","Male","Primary and lower secondary education (Levels 1-2)","%",""
"Annual percentage of part-time work","2020","35 - 39 years","Male","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","%","5.1"
"Annual percentage of part-time work","2020","35 - 39 years","Male","Tertiary education (Levels 5-8)","%",""
"Annual percentage of part-time work","2020","35 - 39 years","Male","Level of education - not stated","%",""
"Annual percentage of part-time work","2020","35 - 39 years","Female","Levels of Education (Levels  0-8)","%","21.8"
"Annual percentage of part-time work","2020","35 - 39 years","Female","Less than primary (Level 0)","%",""
"Annual percentage of part-time work","2020","35 - 39 years","Female","Primary and lower secondary education (Levels 1-2)","%","50.2"
"Annual percentage of part-time work","2020","35 - 39 years","Female","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","%","34.6"
"Annual percentage of part-time work","2020","35 - 39 years","Female","Tertiary education (Levels 5-8)","%","16"
"Annual percentage of part-time work","2020","35 - 39 years","Female","Level of education - not stated","%",""
"Annual percentage of part-time work","2020","40 - 44 years","Both sexes","Levels of Education (Levels  0-8)","%","15"
"Annual percentage of part-time work","2020","40 - 44 years","Both sexes","Less than primary (Level 0)","%",""
"Annual percentage of part-time work","2020","40 - 44 years","Both sexes","Primary and lower secondary education (Levels 1-2)","%","16.8"
"Annual percentage of part-time work","2020","40 - 44 years","Both sexes","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","%","17.6"
