"Statistic Label","Quarter","Sex","Education Attainment Level","Age Group","UNIT","VALUE"
"Employment rate","2019Q1","Both sexes","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","35 - 39 years","%","78.5"
"Employment rate","2019Q1","Both sexes","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","40 - 44 years","%","77.4"
"Employment rate","2019Q1","Both sexes","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","45 - 49 years","%","77.9"
"Employment rate","2019Q1","Both sexes","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","50 - 54 years","%","76.9"
"Employment rate","2019Q1","Both sexes","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","55 - 59 years","%","70.3"
"Employment rate","2019Q1","Both sexes","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","60 - 64 years","%","55.5"
"Employment rate","2019Q1","Both sexes","Tertiary education (Levels 5-8)","All ages","%","85"
"Employment rate","2019Q1","Both sexes","Tertiary education (Levels 5-8)","20 - 24 years","%","82.1"
"Employment rate","2019Q1","Both sexes","Tertiary education (Levels 5-8)","25 - 29 years","%","86.7"
"Employment rate","2019Q1","Both sexes","Tertiary education (Levels 5-8)","25 - 54 years","%","87.8"
"Employment rate","2019Q1","Both sexes","Tertiary education (Levels 5-8)","30 - 34 years","%","88.1"
"Employment rate","2019Q1","Both sexes","Tertiary education (Levels 5-8)","35 - 39 years","%","88"
"Employment rate","2019Q1","Both sexes","Tertiary education (Levels 5-8)","40 - 44 years","%","89.6"
"Employment rate","2019Q1","Both sexes","Tertiary education (Levels 5-8)","45 - 49 years","%","87"
"Employment rate","2019Q1","Both sexes","Tertiary education (Levels 5-8)","50 - 54 years","%","86.6"
"Employment rate","2019Q1","Both sexes","Tertiary education (Levels 5-8)","55 - 59 years","%","77.8"
"Employment rate","2019Q1","Both sexes","Tertiary education (Levels 5-8)","60 - 64 years","%","59.6"
"Employment rate","2019Q1","Both sexes","Level of education - not stated","All ages","%","70.6"
"Employment rate","2019Q1","Both sexes","Level of education - not stated","20 - 24 years","%",""
"Employment rate","2019Q1","Both sexes","Level of education - not stated","25 - 29 years","%","76"
"Employment rate","2019Q1","Both sexes","Level of education - not stated","25 - 54 years","%","76"
"Employment rate","2019Q1","Both sexes","Level of education - not stated","30 - 34 years","%","76"
"Employment rate","2019Q1","Both sexes","Level of education - not stated","35 - 39 years","%","74.8"
"Employment rate","2019Q1","Both sexes","Level of education - not stated","40 - 44 years","%","81.6"
"Employment rate","2019Q1","Both sexes","Level of education - not stated","45 - 49 years","%","82.7"
"Employment rate","2019Q1","Both sexes","Level of education - not stated","50 - 54 years","%","62"
"Employment rate","2019Q1","Both sexes","Level of education - not stated","55 - 59 years","%",""
"Employment rate","2019Q1","Both sexes","Level of education - not stated","60 - 64 years","%",""
"Employment rate","2019Q1","Male","Levels of Education (Levels  0-8)","All ages","%","80.9"
"Employment rate","2019Q1","Male","Levels of Education (Levels  0-8)","20 - 24 years","%","64.7"
"Employment rate","2019Q1","Male","Levels of Education (Levels  0-8)","25 - 29 years","%","82.8"
"Employment rate","2019Q1","Male","Levels of Education (Levels  0-8)","25 - 54 years","%","86.3"
"Employment rate","2019Q1","Male","Levels of Education (Levels  0-8)","30 - 34 years","%","88.8"
"Employment rate","2019Q1","Male","Levels of Education (Levels  0-8)","35 - 39 years","%","89.5"
"Employment rate","2019Q1","Male","Levels of Education (Levels  0-8)","40 - 44 years","%","87.4"
"Employment rate","2019Q1","Male","Levels of Education (Levels  0-8)","45 - 49 years","%","85.4"
"Employment rate","2019Q1","Male","Levels of Education (Levels  0-8)","50 - 54 years","%","82.7"
"Employment rate","2019Q1","Male","Levels of Education (Levels  0-8)","55 - 59 years","%","77.3"
"Employment rate","2019Q1","Male","Levels of Education (Levels  0-8)","60 - 64 years","%","60.6"
"Employment rate","2019Q1","Male","Less than primary (Level 0)","All ages","%",""
"Employment rate","2019Q1","Male","Less than primary (Level 0)","20 - 24 years","%",""
"Employment rate","2019Q1","Male","Less than primary (Level 0)","25 - 29 years","%",""
"Employment rate","2019Q1","Male","Less than primary (Level 0)","25 - 54 years","%",""
"Employment rate","2019Q1","Male","Less than primary (Level 0)","30 - 34 years","%",""
"Employment rate","2019Q1","Male","Less than primary (Level 0)","35 - 39 years","%",""
"Employment rate","2019Q1","Male","Less than primary (Level 0)","40 - 44 years","%",""
"Employment rate","2019Q1","Male","Less than primary (Level 0)","45 - 49 years","%",""
"Employment rate","2019Q1","Male","Less than primary (Level 0)","50 - 54 years","%",""
"Employment rate","2019Q1","Male","Less than primary (Level 0)","55 - 59 years","%",""
"Employment rate","2019Q1","Male","Less than primary (Level 0)","60 - 64 years","%",""
"Employment rate","2019Q1","Male","Primary and lower secondary education (Levels 1-2)","All ages","%","63.7"
"Employment rate","2019Q1","Male","Primary and lower secondary education (Levels 1-2)","20 - 24 years","%",""
"Employment rate","2019Q1","Male","Primary and lower secondary education (Levels 1-2)","25 - 29 years","%","56"
"Employment rate","2019Q1","Male","Primary and lower secondary education (Levels 1-2)","25 - 54 years","%","67"
"Employment rate","2019Q1","Male","Primary and lower secondary education (Levels 1-2)","30 - 34 years","%","70"
"Employment rate","2019Q1","Male","Primary and lower secondary education (Levels 1-2)","35 - 39 years","%","70"
"Employment rate","2019Q1","Male","Primary and lower secondary education (Levels 1-2)","40 - 44 years","%","67.3"
"Employment rate","2019Q1","Male","Primary and lower secondary education (Levels 1-2)","45 - 49 years","%","67.6"
"Employment rate","2019Q1","Male","Primary and lower secondary education (Levels 1-2)","50 - 54 years","%","66.7"
"Employment rate","2019Q1","Male","Primary and lower secondary education (Levels 1-2)","55 - 59 years","%","67.1"
"Employment rate","2019Q1","Male","Primary and lower secondary education (Levels 1-2)","60 - 64 years","%","55.1"
"Employment rate","2019Q1","Male","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","All ages","%","80.1"
"Employment rate","2019Q1","Male","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","20 - 24 years","%","62.1"
"Employment rate","2019Q1","Male","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","25 - 29 years","%","80.5"
"Employment rate","2019Q1","Male","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","25 - 54 years","%","86.9"
"Employment rate","2019Q1","Male","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","30 - 34 years","%","89"
"Employment rate","2019Q1","Male","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","35 - 39 years","%","90.7"
"Employment rate","2019Q1","Male","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","40 - 44 years","%","86"
"Employment rate","2019Q1","Male","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","45 - 49 years","%","87.9"
"Employment rate","2019Q1","Male","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","50 - 54 years","%","85.7"
"Employment rate","2019Q1","Male","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","55 - 59 years","%","79.4"
"Employment rate","2019Q1","Male","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","60 - 64 years","%","63.8"
"Employment rate","2019Q1","Male","Tertiary education (Levels 5-8)","All ages","%","89.7"
"Employment rate","2019Q1","Male","Tertiary education (Levels 5-8)","20 - 24 years","%","81.8"
"Employment rate","2019Q1","Male","Tertiary education (Levels 5-8)","25 - 29 years","%","88.7"
"Employment rate","2019Q1","Male","Tertiary education (Levels 5-8)","25 - 54 years","%","92.7"
"Employment rate","2019Q1","Male","Tertiary education (Levels 5-8)","30 - 34 years","%","93.7"
"Employment rate","2019Q1","Male","Tertiary education (Levels 5-8)","35 - 39 years","%","93.9"
"Employment rate","2019Q1","Male","Tertiary education (Levels 5-8)","40 - 44 years","%","94.3"
"Employment rate","2019Q1","Male","Tertiary education (Levels 5-8)","45 - 49 years","%","92.4"
"Employment rate","2019Q1","Male","Tertiary education (Levels 5-8)","50 - 54 years","%","92.8"
"Employment rate","2019Q1","Male","Tertiary education (Levels 5-8)","55 - 59 years","%","85.4"
"Employment rate","2019Q1","Male","Tertiary education (Levels 5-8)","60 - 64 years","%","64.6"
"Employment rate","2019Q1","Male","Level of education - not stated","All ages","%","74.3"
"Employment rate","2019Q1","Male","Level of education - not stated","20 - 24 years","%",""
"Employment rate","2019Q1","Male","Level of education - not stated","25 - 29 years","%",""
"Employment rate","2019Q1","Male","Level of education - not stated","25 - 54 years","%","79.3"
"Employment rate","2019Q1","Male","Level of education - not stated","30 - 34 years","%",""
"Employment rate","2019Q1","Male","Level of education - not stated","35 - 39 years","%",""
"Employment rate","2019Q1","Male","Level of education - not stated","40 - 44 years","%","89"
"Employment rate","2019Q1","Male","Level of education - not stated","45 - 49 years","%","85.5"
"Employment rate","2019Q1","Male","Level of education - not stated","50 - 54 years","%",""
"Employment rate","2019Q1","Male","Level of education - not stated","55 - 59 years","%",""
"Employment rate","2019Q1","Male","Level of education - not stated","60 - 64 years","%",""
"Employment rate","2019Q1","Female","Levels of Education (Levels  0-8)","All ages","%","69.1"
"Employment rate","2019Q1","Female","Levels of Education (Levels  0-8)","20 - 24 years","%","63.1"
"Employment rate","2019Q1","Female","Levels of Education (Levels  0-8)","25 - 29 years","%","77.3"
"Employment rate","2019Q1","Female","Levels of Education (Levels  0-8)","25 - 54 years","%","74.1"
"Employment rate","2019Q1","Female","Levels of Education (Levels  0-8)","30 - 34 years","%","74.6"
"Employment rate","2019Q1","Female","Levels of Education (Levels  0-8)","35 - 39 years","%","74.1"
"Employment rate","2019Q1","Female","Levels of Education (Levels  0-8)","40 - 44 years","%","75.8"
"Employment rate","2019Q1","Female","Levels of Education (Levels  0-8)","45 - 49 years","%","73.2"
"Employment rate","2019Q1","Female","Levels of Education (Levels  0-8)","50 - 54 years","%","69.2"
"Employment rate","2019Q1","Female","Levels of Education (Levels  0-8)","55 - 59 years","%","60.4"
"Employment rate","2019Q1","Female","Levels of Education (Levels  0-8)","60 - 64 years","%","45.5"
"Employment rate","2019Q1","Female","Less than primary (Level 0)","All ages","%",""
"Employment rate","2019Q1","Female","Less than primary (Level 0)","20 - 24 years","%",""
"Employment rate","2019Q1","Female","Less than primary (Level 0)","25 - 29 years","%",""
"Employment rate","2019Q1","Female","Less than primary (Level 0)","25 - 54 years","%",""
"Employment rate","2019Q1","Female","Less than primary (Level 0)","30 - 34 years","%",""
"Employment rate","2019Q1","Female","Less than primary (Level 0)","35 - 39 years","%",""
"Employment rate","2019Q1","Female","Less than primary (Level 0)","40 - 44 years","%",""
"Employment rate","2019Q1","Female","Less than primary (Level 0)","45 - 49 years","%",""
"Employment rate","2019Q1","Female","Less than primary (Level 0)","50 - 54 years","%",""
"Employment rate","2019Q1","Female","Less than primary (Level 0)","55 - 59 years","%",""
"Employment rate","2019Q1","Female","Less than primary (Level 0)","60 - 64 years","%",""
"Employment rate","2019Q1","Female","Primary and lower secondary education (Levels 1-2)","All ages","%","40.1"
"Employment rate","2019Q1","Female","Primary and lower secondary education (Levels 1-2)","20 - 24 years","%",""
"Employment rate","2019Q1","Female","Primary and lower secondary education (Levels 1-2)","25 - 29 years","%",""
"Employment rate","2019Q1","Female","Primary and lower secondary education (Levels 1-2)","25 - 54 years","%","44"
"Employment rate","2019Q1","Female","Primary and lower secondary education (Levels 1-2)","30 - 34 years","%",""
"Employment rate","2019Q1","Female","Primary and lower secondary education (Levels 1-2)","35 - 39 years","%","43.1"
"Employment rate","2019Q1","Female","Primary and lower secondary education (Levels 1-2)","40 - 44 years","%","46.4"
"Employment rate","2019Q1","Female","Primary and lower secondary education (Levels 1-2)","45 - 49 years","%","51.1"
"Employment rate","2019Q1","Female","Primary and lower secondary education (Levels 1-2)","50 - 54 years","%","43.1"
"Employment rate","2019Q1","Female","Primary and lower secondary education (Levels 1-2)","55 - 59 years","%","40.9"
"Employment rate","2019Q1","Female","Primary and lower secondary education (Levels 1-2)","60 - 64 years","%","32.2"
"Employment rate","2019Q1","Female","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","All ages","%","63.8"
"Employment rate","2019Q1","Female","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","20 - 24 years","%","58"
"Employment rate","2019Q1","Female","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","25 - 29 years","%","71.8"
"Employment rate","2019Q1","Female","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","25 - 54 years","%","67.4"
"Employment rate","2019Q1","Female","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","30 - 34 years","%","65.1"
"Employment rate","2019Q1","Female","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","35 - 39 years","%","64.2"
"Employment rate","2019Q1","Female","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","40 - 44 years","%","67.1"
"Employment rate","2019Q1","Female","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","45 - 49 years","%","67.8"
"Employment rate","2019Q1","Female","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","50 - 54 years","%","69.2"
"Employment rate","2019Q1","Female","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","55 - 59 years","%","62.8"
"Employment rate","2019Q1","Female","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","60 - 64 years","%","47.2"
"Employment rate","2019Q1","Female","Tertiary education (Levels 5-8)","All ages","%","81.1"
"Employment rate","2019Q1","Female","Tertiary education (Levels 5-8)","20 - 24 years","%","82.4"
"Employment rate","2019Q1","Female","Tertiary education (Levels 5-8)","25 - 29 years","%","85"
"Employment rate","2019Q1","Female","Tertiary education (Levels 5-8)","25 - 54 years","%","83.9"
"Employment rate","2019Q1","Female","Tertiary education (Levels 5-8)","30 - 34 years","%","83.8"
"Employment rate","2019Q1","Female","Tertiary education (Levels 5-8)","35 - 39 years","%","83.6"
"Employment rate","2019Q1","Female","Tertiary education (Levels 5-8)","40 - 44 years","%","85.9"
"Employment rate","2019Q1","Female","Tertiary education (Levels 5-8)","45 - 49 years","%","82.7"
"Employment rate","2019Q1","Female","Tertiary education (Levels 5-8)","50 - 54 years","%","81"
"Employment rate","2019Q1","Female","Tertiary education (Levels 5-8)","55 - 59 years","%","70.9"
"Employment rate","2019Q1","Female","Tertiary education (Levels 5-8)","60 - 64 years","%","55.7"
"Employment rate","2019Q1","Female","Level of education - not stated","All ages","%","66.7"
"Employment rate","2019Q1","Female","Level of education - not stated","20 - 24 years","%",""
"Employment rate","2019Q1","Female","Level of education - not stated","25 - 29 years","%",""
"Employment rate","2019Q1","Female","Level of education - not stated","25 - 54 years","%","72.4"
"Employment rate","2019Q1","Female","Level of education - not stated","30 - 34 years","%",""
"Employment rate","2019Q1","Female","Level of education - not stated","35 - 39 years","%",""
"Employment rate","2019Q1","Female","Level of education - not stated","40 - 44 years","%",""
"Employment rate","2019Q1","Female","Level of education - not stated","45 - 49 years","%",""
"Employment rate","2019Q1","Female","Level of education - not stated","50 - 54 years","%",""
"Employment rate","2019Q1","Female","Level of education - not stated","55 - 59 years","%",""
"Employment rate","2019Q1","Female","Level of education - not stated","60 - 64 years","%",""
"Employment rate","2019Q2","Both sexes","Levels of Education (Levels  0-8)","All ages","%","74.5"
"Employment rate","2019Q2","Both sexes","Levels of Education (Levels  0-8)","20 - 24 years","%","63.9"
"Employment rate","2019Q2","Both sexes","Levels of Education (Levels  0-8)","25 - 29 years","%","79.3"
"Employment rate","2019Q2","Both sexes","Levels of Education (Levels  0-8)","25 - 54 years","%","79.6"
"Employment rate","2019Q2","Both sexes","Levels of Education (Levels  0-8)","30 - 34 years","%","81"
"Employment rate","2019Q2","Both sexes","Levels of Education (Levels  0-8)","35 - 39 years","%","81.1"
"Employment rate","2019Q2","Both sexes","Levels of Education (Levels  0-8)","40 - 44 years","%","80.2"
"Employment rate","2019Q2","Both sexes","Levels of Education (Levels  0-8)","45 - 49 years","%","79.3"
"Employment rate","2019Q2","Both sexes","Levels of Education (Levels  0-8)","50 - 54 years","%","75.9"
"Employment rate","2019Q2","Both sexes","Levels of Education (Levels  0-8)","55 - 59 years","%","68.7"
"Employment rate","2019Q2","Both sexes","Levels of Education (Levels  0-8)","60 - 64 years","%","52.8"
"Employment rate","2019Q2","Both sexes","Less than primary (Level 0)","All ages","%",""
"Employment rate","2019Q2","Both sexes","Less than primary (Level 0)","20 - 24 years","%",""
"Employment rate","2019Q2","Both sexes","Less than primary (Level 0)","25 - 29 years","%",""
"Employment rate","2019Q2","Both sexes","Less than primary (Level 0)","25 - 54 years","%",""
"Employment rate","2019Q2","Both sexes","Less than primary (Level 0)","30 - 34 years","%",""
"Employment rate","2019Q2","Both sexes","Less than primary (Level 0)","35 - 39 years","%",""
"Employment rate","2019Q2","Both sexes","Less than primary (Level 0)","40 - 44 years","%",""
"Employment rate","2019Q2","Both sexes","Less than primary (Level 0)","45 - 49 years","%",""
"Employment rate","2019Q2","Both sexes","Less than primary (Level 0)","50 - 54 years","%",""
"Employment rate","2019Q2","Both sexes","Less than primary (Level 0)","55 - 59 years","%",""
"Employment rate","2019Q2","Both sexes","Less than primary (Level 0)","60 - 64 years","%",""
"Employment rate","2019Q2","Both sexes","Primary and lower secondary education (Levels 1-2)","All ages","%","51.8"
"Employment rate","2019Q2","Both sexes","Primary and lower secondary education (Levels 1-2)","20 - 24 years","%",""
"Employment rate","2019Q2","Both sexes","Primary and lower secondary education (Levels 1-2)","25 - 29 years","%","39.8"
"Employment rate","2019Q2","Both sexes","Primary and lower secondary education (Levels 1-2)","25 - 54 years","%","54.8"
"Employment rate","2019Q2","Both sexes","Primary and lower secondary education (Levels 1-2)","30 - 34 years","%","51.5"
"Employment rate","2019Q2","Both sexes","Primary and lower secondary education (Levels 1-2)","35 - 39 years","%","53.2"
"Employment rate","2019Q2","Both sexes","Primary and lower secondary education (Levels 1-2)","40 - 44 years","%","53.7"
"Employment rate","2019Q2","Both sexes","Primary and lower secondary education (Levels 1-2)","45 - 49 years","%","58.9"
"Employment rate","2019Q2","Both sexes","Primary and lower secondary education (Levels 1-2)","50 - 54 years","%","58"
"Employment rate","2019Q2","Both sexes","Primary and lower secondary education (Levels 1-2)","55 - 59 years","%","54.5"
"Employment rate","2019Q2","Both sexes","Primary and lower secondary education (Levels 1-2)","60 - 64 years","%","45.5"
"Employment rate","2019Q2","Both sexes","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","All ages","%","72"
"Employment rate","2019Q2","Both sexes","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","20 - 24 years","%","61.2"
"Employment rate","2019Q2","Both sexes","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","25 - 29 years","%","74.6"
"Employment rate","2019Q2","Both sexes","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","25 - 54 years","%","77.1"
"Employment rate","2019Q2","Both sexes","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","30 - 34 years","%","78.7"
"Employment rate","2019Q2","Both sexes","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","35 - 39 years","%","78.8"
"Employment rate","2019Q2","Both sexes","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","40 - 44 years","%","77"
"Employment rate","2019Q2","Both sexes","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","45 - 49 years","%","77.9"
"Employment rate","2019Q2","Both sexes","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","50 - 54 years","%","74.9"
"Employment rate","2019Q2","Both sexes","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","55 - 59 years","%","70.5"
"Employment rate","2019Q2","Both sexes","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","60 - 64 years","%","55.7"
"Employment rate","2019Q2","Both sexes","Tertiary education (Levels 5-8)","All ages","%","85"
"Employment rate","2019Q2","Both sexes","Tertiary education (Levels 5-8)","20 - 24 years","%","78.9"
"Employment rate","2019Q2","Both sexes","Tertiary education (Levels 5-8)","25 - 29 years","%","87.3"
"Employment rate","2019Q2","Both sexes","Tertiary education (Levels 5-8)","25 - 54 years","%","87.9"
"Employment rate","2019Q2","Both sexes","Tertiary education (Levels 5-8)","30 - 34 years","%","87.9"
"Employment rate","2019Q2","Both sexes","Tertiary education (Levels 5-8)","35 - 39 years","%","87.8"
"Employment rate","2019Q2","Both sexes","Tertiary education (Levels 5-8)","40 - 44 years","%","88.3"
"Employment rate","2019Q2","Both sexes","Tertiary education (Levels 5-8)","45 - 49 years","%","88.1"
"Employment rate","2019Q2","Both sexes","Tertiary education (Levels 5-8)","50 - 54 years","%","87.6"
"Employment rate","2019Q2","Both sexes","Tertiary education (Levels 5-8)","55 - 59 years","%","79.2"
"Employment rate","2019Q2","Both sexes","Tertiary education (Levels 5-8)","60 - 64 years","%","59.3"
"Employment rate","2019Q2","Both sexes","Level of education - not stated","All ages","%","71.1"
"Employment rate","2019Q2","Both sexes","Level of education - not stated","20 - 24 years","%",""
"Employment rate","2019Q2","Both sexes","Level of education - not stated","25 - 29 years","%","75.6"
"Employment rate","2019Q2","Both sexes","Level of education - not stated","25 - 54 years","%","75.2"
"Employment rate","2019Q2","Both sexes","Level of education - not stated","30 - 34 years","%","71.3"
"Employment rate","2019Q2","Both sexes","Level of education - not stated","35 - 39 years","%","80.6"
"Employment rate","2019Q2","Both sexes","Level of education - not stated","40 - 44 years","%","72.4"
"Employment rate","2019Q2","Both sexes","Level of education - not stated","45 - 49 years","%","78.5"
"Employment rate","2019Q2","Both sexes","Level of education - not stated","50 - 54 years","%","72.8"
"Employment rate","2019Q2","Both sexes","Level of education - not stated","55 - 59 years","%","67.5"
"Employment rate","2019Q2","Both sexes","Level of education - not stated","60 - 64 years","%",""
"Employment rate","2019Q2","Male","Levels of Education (Levels  0-8)","All ages","%","81"
"Employment rate","2019Q2","Male","Levels of Education (Levels  0-8)","20 - 24 years","%","63.6"
"Employment rate","2019Q2","Male","Levels of Education (Levels  0-8)","25 - 29 years","%","84.2"
"Employment rate","2019Q2","Male","Levels of Education (Levels  0-8)","25 - 54 years","%","86.6"
"Employment rate","2019Q2","Male","Levels of Education (Levels  0-8)","30 - 34 years","%","88.5"
"Employment rate","2019Q2","Male","Levels of Education (Levels  0-8)","35 - 39 years","%","89.3"
"Employment rate","2019Q2","Male","Levels of Education (Levels  0-8)","40 - 44 years","%","86.7"
"Employment rate","2019Q2","Male","Levels of Education (Levels  0-8)","45 - 49 years","%","85.4"
"Employment rate","2019Q2","Male","Levels of Education (Levels  0-8)","50 - 54 years","%","84.9"
"Employment rate","2019Q2","Male","Levels of Education (Levels  0-8)","55 - 59 years","%","77.6"
"Employment rate","2019Q2","Male","Levels of Education (Levels  0-8)","60 - 64 years","%","60.7"
"Employment rate","2019Q2","Male","Less than primary (Level 0)","All ages","%",""
"Employment rate","2019Q2","Male","Less than primary (Level 0)","20 - 24 years","%",""
"Employment rate","2019Q2","Male","Less than primary (Level 0)","25 - 29 years","%",""
"Employment rate","2019Q2","Male","Less than primary (Level 0)","25 - 54 years","%",""
"Employment rate","2019Q2","Male","Less than primary (Level 0)","30 - 34 years","%",""
"Employment rate","2019Q2","Male","Less than primary (Level 0)","35 - 39 years","%",""
"Employment rate","2019Q2","Male","Less than primary (Level 0)","40 - 44 years","%",""
"Employment rate","2019Q2","Male","Less than primary (Level 0)","45 - 49 years","%",""
"Employment rate","2019Q2","Male","Less than primary (Level 0)","50 - 54 years","%",""
"Employment rate","2019Q2","Male","Less than primary (Level 0)","55 - 59 years","%",""
"Employment rate","2019Q2","Male","Less than primary (Level 0)","60 - 64 years","%",""
"Employment rate","2019Q2","Male","Primary and lower secondary education (Levels 1-2)","All ages","%","63.6"
"Employment rate","2019Q2","Male","Primary and lower secondary education (Levels 1-2)","20 - 24 years","%",""
"Employment rate","2019Q2","Male","Primary and lower secondary education (Levels 1-2)","25 - 29 years","%",""
