Year,Age Group,Sex,Education Attainment Level,NUTS 2 Region,Employment_Rate,Unemployment_Rate
2019,15 - 24 years,Female,Levels of Education (Levels  0-8),Southern,,12.1
2019,15 - 24 years,Female,Primary and lower secondary education (Levels 1-2),Eastern and Midland,,27.4
2019,15 - 24 years,Female,Primary and lower secondary education (Levels 1-2),Ireland,,23.1
2019,15 - 24 years,Female,Primary and lower secondary education (Levels 1-2),Northern and Western,,
2019,15 - 24 years,Female,Primary and lower secondary education (Levels 1-2),Southern,,20.8
2019,15 - 24 years,Female,Tertiary education (Levels 5-8),Eastern and Midland,,6.7
2019,15 - 24 years,Female,Tertiary education (Levels 5-8),Ireland,,6.8
2019,15 - 24 years,Female,Tertiary education (Levels 5-8),Northern and Western,,
2019,15 - 24 years,Female,Tertiary education (Levels 5-8),Southern,,
2019,15 - 24 years,Female,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Eastern and Midland,,8.9
2019,15 - 24 years,Female,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Ireland,,9.9
2019,15 - 24 years,Female,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Northern and Western,,
2019,15 - 24 years,Female,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Southern,,11.9
2019,15 - 24 years,Male,Less than primary (Level 0),Eastern and Midland,,
2019,15 - 24 years,Male,Less than primary (Level 0),Ireland,,
2019,15 - 24 years,Male,Less than primary (Level 0),Northern and Western,,
2019,15 - 24 years,Male,Less than primary (Level 0),Southern,,
2019,15 - 24 years,Male,Level of education - not stated,Eastern and Midland,,
2019,15 - 24 years,Male,Level of education - not stated,Ireland,,
2019,15 - 24 years,Male,Level of education - not stated,Northern and Western,,
2019,15 - 24 years,Male,Level of education - not stated,Southern,,
2019,15 - 24 years,Male,Levels of Education (Levels  0-8),Eastern and Midland,,13.1
2019,15 - 24 years,Male,Levels of Education (Levels  0-8),Ireland,,14.1
2019,15 - 24 years,Male,Levels of Education (Levels  0-8),Northern and Western,,15.3
2019,15 - 24 years,Male,Levels of Education (Levels  0-8),Southern,,15.2
2019,15 - 24 years,Male,Primary and lower secondary education (Levels 1-2),Eastern and Midland,,28.0
2019,15 - 24 years,Male,Primary and lower secondary education (Levels 1-2),Ireland,,29.2
2019,15 - 24 years,Male,Primary and lower secondary education (Levels 1-2),Northern and Western,,28.6
2019,15 - 24 years,Male,Primary and lower secondary education (Levels 1-2),Southern,,31.5
2019,15 - 24 years,Male,Tertiary education (Levels 5-8),Eastern and Midland,,8.0
2019,15 - 24 years,Male,Tertiary education (Levels 5-8),Ireland,,9.0
2019,15 - 24 years,Male,Tertiary education (Levels 5-8),Northern and Western,,
2019,15 - 24 years,Male,Tertiary education (Levels 5-8),Southern,,
2019,15 - 24 years,Male,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Eastern and Midland,,12.2
2019,15 - 24 years,Male,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Ireland,,12.7
2019,15 - 24 years,Male,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Northern and Western,,12.1
2019,15 - 24 years,Male,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Southern,,13.7
2019,20 - 24 years,Both sexes,Less than primary (Level 0),Eastern and Midland,,
2019,20 - 24 years,Both sexes,Less than primary (Level 0),Ireland,,
2019,20 - 24 years,Both sexes,Less than primary (Level 0),Northern and Western,,
2019,20 - 24 years,Both sexes,Less than primary (Level 0),Southern,,
2019,20 - 24 years,Both sexes,Level of education - not stated,Eastern and Midland,39.6,
2019,20 - 24 years,Both sexes,Level of education - not stated,Ireland,50.4,
2019,20 - 24 years,Both sexes,Level of education - not stated,Northern and Western,,
2019,20 - 24 years,Both sexes,Level of education - not stated,Southern,68.0,
2019,20 - 24 years,Both sexes,Levels of Education (Levels  0-8),Eastern and Midland,66.8,
2019,20 - 24 years,Both sexes,Levels of Education (Levels  0-8),Ireland,64.7,
2019,20 - 24 years,Both sexes,Levels of Education (Levels  0-8),Northern and Western,62.6,
2019,20 - 24 years,Both sexes,Levels of Education (Levels  0-8),Southern,62.6,
2019,20 - 24 years,Both sexes,Primary and lower secondary education (Levels 1-2),Eastern and Midland,33.4,
2019,20 - 24 years,Both sexes,Primary and lower secondary education (Levels 1-2),Ireland,29.5,
2019,20 - 24 years,Both sexes,Primary and lower secondary education (Levels 1-2),Northern and Western,,
2019,20 - 24 years,Both sexes,Primary and lower secondary education (Levels 1-2),Southern,27.0,
2019,20 - 24 years,Both sexes,Tertiary education (Levels 5-8),Eastern and Midland,82.8,
2019,20 - 24 years,Both sexes,Tertiary education (Levels 5-8),Ireland,80.6,
2019,20 - 24 years,Both sexes,Tertiary education (Levels 5-8),Northern and Western,75.9,
2019,20 - 24 years,Both sexes,Tertiary education (Levels 5-8),Southern,78.6,
2019,20 - 24 years,Both sexes,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Eastern and Midland,63.1,
2019,20 - 24 years,Both sexes,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Ireland,62.0,
2019,20 - 24 years,Both sexes,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Northern and Western,61.7,
2019,20 - 24 years,Both sexes,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Southern,60.7,
2019,20 - 24 years,Female,Less than primary (Level 0),Eastern and Midland,,
2019,20 - 24 years,Female,Less than primary (Level 0),Ireland,,
2019,20 - 24 years,Female,Less than primary (Level 0),Northern and Western,,
2019,20 - 24 years,Female,Less than primary (Level 0),Southern,,
2019,20 - 24 years,Female,Level of education - not stated,Eastern and Midland,,
2019,20 - 24 years,Female,Level of education - not stated,Ireland,49.4,
2019,20 - 24 years,Female,Level of education - not stated,Northern and Western,,
2019,20 - 24 years,Female,Level of education - not stated,Southern,,
2019,20 - 24 years,Female,Levels of Education (Levels  0-8),Eastern and Midland,65.6,
2019,20 - 24 years,Female,Levels of Education (Levels  0-8),Ireland,63.7,
2019,20 - 24 years,Female,Levels of Education (Levels  0-8),Northern and Western,61.8,
2019,20 - 24 years,Female,Levels of Education (Levels  0-8),Southern,61.9,
2019,20 - 24 years,Female,Primary and lower secondary education (Levels 1-2),Eastern and Midland,,
2019,20 - 24 years,Female,Primary and lower secondary education (Levels 1-2),Ireland,25.9,
2019,20 - 24 years,Female,Primary and lower secondary education (Levels 1-2),Northern and Western,,
2019,20 - 24 years,Female,Primary and lower secondary education (Levels 1-2),Southern,,
2019,20 - 24 years,Female,Tertiary education (Levels 5-8),Eastern and Midland,82.7,
2019,20 - 24 years,Female,Tertiary education (Levels 5-8),Ireland,80.5,
2019,20 - 24 years,Female,Tertiary education (Levels 5-8),Northern and Western,77.0,
2019,20 - 24 years,Female,Tertiary education (Levels 5-8),Southern,78.3,
2019,20 - 24 years,Female,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Eastern and Midland,60.3,
2019,20 - 24 years,Female,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Ireland,59.6,
2019,20 - 24 years,Female,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Northern and Western,59.2,
2019,20 - 24 years,Female,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Southern,58.8,
2019,20 - 24 years,Male,Less than primary (Level 0),Eastern and Midland,,
2019,20 - 24 years,Male,Less than primary (Level 0),Ireland,,
2019,20 - 24 years,Male,Less than primary (Level 0),Northern and Western,,
2019,20 - 24 years,Male,Less than primary (Level 0),Southern,,
2019,20 - 24 years,Male,Level of education - not stated,Eastern and Midland,,
2019,20 - 24 years,Male,Level of education - not stated,Ireland,51.6,
2019,20 - 24 years,Male,Level of education - not stated,Northern and Western,,
2019,20 - 24 years,Male,Level of education - not stated,Southern,,
2019,20 - 24 years,Male,Levels of Education (Levels  0-8),Eastern and Midland,67.9,
2019,20 - 24 years,Male,Levels of Education (Levels  0-8),Ireland,65.7,
2019,20 - 24 years,Male,Levels of Education (Levels  0-8),Northern and Western,63.5,
2019,20 - 24 years,Male,Levels of Education (Levels  0-8),Southern,63.4,
2019,20 - 24 years,Male,Primary and lower secondary education (Levels 1-2),Eastern and Midland,36.5,
2019,20 - 24 years,Male,Primary and lower secondary education (Levels 1-2),Ireland,32.4,
2019,20 - 24 years,Male,Primary and lower secondary education (Levels 1-2),Northern and Western,,
2019,20 - 24 years,Male,Primary and lower secondary education (Levels 1-2),Southern,,
2019,20 - 24 years,Male,Tertiary education (Levels 5-8),Eastern and Midland,82.9,
2019,20 - 24 years,Male,Tertiary education (Levels 5-8),Ireland,80.6,
2019,20 - 24 years,Male,Tertiary education (Levels 5-8),Northern and Western,74.3,
2019,20 - 24 years,Male,Tertiary education (Levels 5-8),Southern,78.9,
2019,20 - 24 years,Male,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Eastern and Midland,65.5,
2019,20 - 24 years,Male,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Ireland,64.1,
2019,20 - 24 years,Male,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Northern and Western,63.8,
2019,20 - 24 years,Male,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Southern,62.4,
2019,25 - 29 years,Both sexes,Less than primary (Level 0),Eastern and Midland,,
2019,25 - 29 years,Both sexes,Less than primary (Level 0),Ireland,,
2019,25 - 29 years,Both sexes,Less than primary (Level 0),Northern and Western,,
2019,25 - 29 years,Both sexes,Less than primary (Level 0),Southern,,
2019,25 - 29 years,Both sexes,Level of education - not stated,Eastern and Midland,81.1,
2019,25 - 29 years,Both sexes,Level of education - not stated,Ireland,81.3,
2019,25 - 29 years,Both sexes,Level of education - not stated,Northern and Western,,
2019,25 - 29 years,Both sexes,Level of education - not stated,Southern,77.9,
2019,25 - 29 years,Both sexes,Levels of Education (Levels  0-8),Eastern and Midland,81.2,
2019,25 - 29 years,Both sexes,Levels of Education (Levels  0-8),Ireland,79.3,
2019,25 - 29 years,Both sexes,Levels of Education (Levels  0-8),Northern and Western,77.8,
2019,25 - 29 years,Both sexes,Levels of Education (Levels  0-8),Southern,76.6,
2019,25 - 29 years,Both sexes,Primary and lower secondary education (Levels 1-2),Eastern and Midland,48.4,
2019,25 - 29 years,Both sexes,Primary and lower secondary education (Levels 1-2),Ireland,45.3,
2019,25 - 29 years,Both sexes,Primary and lower secondary education (Levels 1-2),Northern and Western,51.5,
2019,25 - 29 years,Both sexes,Primary and lower secondary education (Levels 1-2),Southern,35.6,
2019,25 - 29 years,Both sexes,Tertiary education (Levels 5-8),Eastern and Midland,88.3,
2019,25 - 29 years,Both sexes,Tertiary education (Levels 5-8),Ireland,86.4,
2019,25 - 29 years,Both sexes,Tertiary education (Levels 5-8),Northern and Western,82.2,
2019,25 - 29 years,Both sexes,Tertiary education (Levels 5-8),Southern,84.4,
2019,25 - 29 years,Both sexes,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Eastern and Midland,74.5,
2019,25 - 29 years,Both sexes,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Ireland,74.4,
2019,25 - 29 years,Both sexes,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Northern and Western,75.6,
2019,25 - 29 years,Both sexes,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Southern,73.6,
2019,25 - 29 years,Female,Less than primary (Level 0),Eastern and Midland,,
2019,25 - 29 years,Female,Less than primary (Level 0),Ireland,,
2019,25 - 29 years,Female,Less than primary (Level 0),Northern and Western,,
2019,25 - 29 years,Female,Less than primary (Level 0),Southern,,
2019,25 - 29 years,Female,Level of education - not stated,Eastern and Midland,85.9,
2019,25 - 29 years,Female,Level of education - not stated,Ireland,81.1,
2019,25 - 29 years,Female,Level of education - not stated,Northern and Western,,
2019,25 - 29 years,Female,Level of education - not stated,Southern,,
2019,25 - 29 years,Female,Levels of Education (Levels  0-8),Eastern and Midland,77.3,
2019,25 - 29 years,Female,Levels of Education (Levels  0-8),Ireland,75.4,
2019,25 - 29 years,Female,Levels of Education (Levels  0-8),Northern and Western,71.8,
2019,25 - 29 years,Female,Levels of Education (Levels  0-8),Southern,73.8,
2019,25 - 29 years,Female,Primary and lower secondary education (Levels 1-2),Eastern and Midland,,
2019,25 - 29 years,Female,Primary and lower secondary education (Levels 1-2),Ireland,29.4,
2019,25 - 29 years,Female,Primary and lower secondary education (Levels 1-2),Northern and Western,,
2019,25 - 29 years,Female,Primary and lower secondary education (Levels 1-2),Southern,,
2019,25 - 29 years,Female,Tertiary education (Levels 5-8),Eastern and Midland,86.3,
2019,25 - 29 years,Female,Tertiary education (Levels 5-8),Ireland,84.4,
2019,25 - 29 years,Female,Tertiary education (Levels 5-8),Northern and Western,77.9,
2019,25 - 29 years,Female,Tertiary education (Levels 5-8),Southern,83.5,
2019,25 - 29 years,Female,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Eastern and Midland,66.3,
2019,25 - 29 years,Female,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Ireland,66.7,
2019,25 - 29 years,Female,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Northern and Western,68.5,
2019,25 - 29 years,Female,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Southern,66.3,
2019,25 - 29 years,Male,Less than primary (Level 0),Eastern and Midland,,
2019,25 - 29 years,Male,Less than primary (Level 0),Ireland,,
2019,25 - 29 years,Male,Less than primary (Level 0),Northern and Western,,
2019,25 - 29 years,Male,Less than primary (Level 0),Southern,,
2019,25 - 29 years,Male,Level of education - not stated,Eastern and Midland,76.7,
2019,25 - 29 years,Male,Level of education - not stated,Ireland,81.6,
2019,25 - 29 years,Male,Level of education - not stated,Northern and Western,,
2019,25 - 29 years,Male,Level of education - not stated,Southern,83.1,
2019,25 - 29 years,Male,Levels of Education (Levels  0-8),Eastern and Midland,85.2,
2019,25 - 29 years,Male,Levels of Education (Levels  0-8),Ireland,83.2,
2019,25 - 29 years,Male,Levels of Education (Levels  0-8),Northern and Western,83.7,
2019,25 - 29 years,Male,Levels of Education (Levels  0-8),Southern,79.4,
2019,25 - 29 years,Male,Primary and lower secondary education (Levels 1-2),Eastern and Midland,64.3,
2019,25 - 29 years,Male,Primary and lower secondary education (Levels 1-2),Ireland,55.7,
2019,25 - 29 years,Male,Primary and lower secondary education (Levels 1-2),Northern and Western,,
2019,25 - 29 years,Male,Primary and lower secondary education (Levels 1-2),Southern,,
2019,25 - 29 years,Male,Tertiary education (Levels 5-8),Eastern and Midland,90.6,
2019,25 - 29 years,Male,Tertiary education (Levels 5-8),Ireland,88.7,
2019,25 - 29 years,Male,Tertiary education (Levels 5-8),Northern and Western,86.9,
2019,25 - 29 years,Male,Tertiary education (Levels 5-8),Southern,85.4,
2019,25 - 29 years,Male,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Eastern and Midland,81.6,
2019,25 - 29 years,Male,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Ireland,81.2,
2019,25 - 29 years,Male,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Northern and Western,82.1,
2019,25 - 29 years,Male,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Southern,80.4,
2019,25 - 54 years,Both sexes,Less than primary (Level 0),Eastern and Midland,,
2019,25 - 54 years,Both sexes,Less than primary (Level 0),Ireland,,
2019,25 - 54 years,Both sexes,Less than primary (Level 0),Northern and Western,,
2019,25 - 54 years,Both sexes,Less than primary (Level 0),Southern,,
2019,25 - 54 years,Both sexes,Level of education - not stated,Eastern and Midland,,
2019,25 - 54 years,Both sexes,Level of education - not stated,Ireland,,3.4
2019,25 - 54 years,Both sexes,Level of education - not stated,Northern and Western,,
2019,25 - 54 years,Both sexes,Level of education - not stated,Southern,,
2019,25 - 54 years,Both sexes,Levels of Education (Levels  0-8),Eastern and Midland,,4.0
2019,25 - 54 years,Both sexes,Levels of Education (Levels  0-8),Ireland,,4.2
2019,25 - 54 years,Both sexes,Levels of Education (Levels  0-8),Northern and Western,,3.8
2019,25 - 54 years,Both sexes,Levels of Education (Levels  0-8),Southern,,4.6
2019,25 - 54 years,Both sexes,Primary and lower secondary education (Levels 1-2),Eastern and Midland,,7.9
2019,25 - 54 years,Both sexes,Primary and lower secondary education (Levels 1-2),Ireland,,8.4
2019,25 - 54 years,Both sexes,Primary and lower secondary education (Levels 1-2),Northern and Western,,6.6
2019,25 - 54 years,Both sexes,Primary and lower secondary education (Levels 1-2),Southern,,10.3
2019,25 - 54 years,Both sexes,Tertiary education (Levels 5-8),Eastern and Midland,,2.9
2019,25 - 54 years,Both sexes,Tertiary education (Levels 5-8),Ireland,,3.0
2019,25 - 54 years,Both sexes,Tertiary education (Levels 5-8),Northern and Western,,3.0
2019,25 - 54 years,Both sexes,Tertiary education (Levels 5-8),Southern,,3.3
2019,25 - 54 years,Both sexes,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Eastern and Midland,,5.0
2019,25 - 54 years,Both sexes,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Ireland,,4.9
2019,25 - 54 years,Both sexes,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Northern and Western,,4.3
2019,25 - 54 years,Both sexes,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Southern,,5.0
2019,25 - 54 years,Female,Less than primary (Level 0),Eastern and Midland,,
2019,25 - 54 years,Female,Less than primary (Level 0),Ireland,,
2019,25 - 54 years,Female,Less than primary (Level 0),Northern and Western,,
2019,25 - 54 years,Female,Less than primary (Level 0),Southern,,
2019,25 - 54 years,Female,Level of education - not stated,Eastern and Midland,,
2019,25 - 54 years,Female,Level of education - not stated,Ireland,,
2019,25 - 54 years,Female,Level of education - not stated,Northern and Western,,
2019,25 - 54 years,Female,Level of education - not stated,Southern,,
2019,25 - 54 years,Female,Levels of Education (Levels  0-8),Eastern and Midland,,3.9
2019,25 - 54 years,Female,Levels of Education (Levels  0-8),Ireland,,4.0
2019,25 - 54 years,Female,Levels of Education (Levels  0-8),Northern and Western,,3.9
2019,25 - 54 years,Female,Levels of Education (Levels  0-8),Southern,,4.3
2019,25 - 54 years,Female,Primary and lower secondary education (Levels 1-2),Eastern and Midland,,6.2
2019,25 - 54 years,Female,Primary and lower secondary education (Levels 1-2),Ireland,,7.2
2019,25 - 54 years,Female,Primary and lower secondary education (Levels 1-2),Northern and Western,,
2019,25 - 54 years,Female,Primary and lower secondary education (Levels 1-2),Southern,,10.0
2019,25 - 54 years,Female,Tertiary education (Levels 5-8),Eastern and Midland,,3.2
2019,25 - 54 years,Female,Tertiary education (Levels 5-8),Ireland,,3.1
2019,25 - 54 years,Female,Tertiary education (Levels 5-8),Northern and Western,,3.2
2019,25 - 54 years,Female,Tertiary education (Levels 5-8),Southern,,2.9
2019,25 - 54 years,Female,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Eastern and Midland,,5.2
2019,25 - 54 years,Female,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Ireland,,5.3
2019,25 - 54 years,Female,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Northern and Western,,4.8
2019,25 - 54 years,Female,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Southern,,5.8
2019,25 - 54 years,Male,Less than primary (Level 0),Eastern and Midland,,
2019,25 - 54 years,Male,Less than primary (Level 0),Ireland,,
2019,25 - 54 years,Male,Less than primary (Level 0),Northern and Western,,
2019,25 - 54 years,Male,Less than primary (Level 0),Southern,,
2019,25 - 54 years,Male,Level of education - not stated,Eastern and Midland,,
2019,25 - 54 years,Male,Level of education - not stated,Ireland,,
2019,25 - 54 years,Male,Level of education - not stated,Northern and Western,,
2019,25 - 54 years,Male,Level of education - not stated,Southern,,
2019,25 - 54 years,Male,Levels of Education (Levels  0-8),Eastern and Midland,,4.0
2019,25 - 54 years,Male,Levels of Education (Levels  0-8),Ireland,,4.3
2019,25 - 54 years,Male,Levels of Education (Levels  0-8),Northern and Western,,3.8
2019,25 - 54 years,Male,Levels of Education (Levels  0-8),Southern,,4.9
2019,25 - 54 years,Male,Primary and lower secondary education (Levels 1-2),Eastern and Midland,,8.7
2019,25 - 54 years,Male,Primary and lower secondary education (Levels 1-2),Ireland,,8.9
2019,25 - 54 years,Male,Primary and lower secondary education (Levels 1-2),Northern and Western,,7.0
2019,25 - 54 years,Male,Primary and lower secondary education (Levels 1-2),Southern,,10.4
2019,25 - 54 years,Male,Tertiary education (Levels 5-8),Eastern and Midland,,2.6
2019,25 - 54 years,Male,Tertiary education (Levels 5-8),Ireland,,3.0
2019,25 - 54 years,Male,Tertiary education (Levels 5-8),Northern and Western,,2.8
2019,25 - 54 years,Male,Tertiary education (Levels 5-8),Southern,,3.7
2019,25 - 54 years,Male,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Eastern and Midland,,4.9
2019,25 - 54 years,Male,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Ireland,,4.6
2019,25 - 54 years,Male,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Northern and Western,,3.9
2019,25 - 54 years,Male,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Southern,,4.5
2019,30 - 34 years,Both sexes,Less than primary (Level 0),Eastern and Midland,,
2019,30 - 34 years,Both sexes,Less than primary (Level 0),Ireland,,
2019,30 - 34 years,Both sexes,Less than primary (Level 0),Northern and Western,,
2019,30 - 34 years,Both sexes,Less than primary (Level 0),Southern,,
2019,30 - 34 years,Both sexes,Level of education - not stated,Eastern and Midland,81.5,
2019,30 - 34 years,Both sexes,Level of education - not stated,Ireland,76.5,
2019,30 - 34 years,Both sexes,Level of education - not stated,Northern and Western,,
2019,30 - 34 years,Both sexes,Level of education - not stated,Southern,72.0,
2019,30 - 34 years,Both sexes,Levels of Education (Levels  0-8),Eastern and Midland,81.1,
2019,30 - 34 years,Both sexes,Levels of Education (Levels  0-8),Ireland,80.9,
2019,30 - 34 years,Both sexes,Levels of Education (Levels  0-8),Northern and Western,81.3,
2019,30 - 34 years,Both sexes,Levels of Education (Levels  0-8),Southern,80.1,
2019,30 - 34 years,Both sexes,Primary and lower secondary education (Levels 1-2),Eastern and Midland,52.4,
2019,30 - 34 years,Both sexes,Primary and lower secondary education (Levels 1-2),Ireland,51.6,
2019,30 - 34 years,Both sexes,Primary and lower secondary education (Levels 1-2),Northern and Western,51.0,
2019,30 - 34 years,Both sexes,Primary and lower secondary education (Levels 1-2),Southern,50.1,
2019,30 - 34 years,Both sexes,Tertiary education (Levels 5-8),Eastern and Midland,88.3,
2019,30 - 34 years,Both sexes,Tertiary education (Levels 5-8),Ireland,88.0,
2019,30 - 34 years,Both sexes,Tertiary education (Levels 5-8),Northern and Western,87.6,
2019,30 - 34 years,Both sexes,Tertiary education (Levels 5-8),Southern,87.4,
2019,30 - 34 years,Both sexes,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Eastern and Midland,76.0,
2019,30 - 34 years,Both sexes,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Ireland,77.3,
2019,30 - 34 years,Both sexes,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Northern and Western,80.2,
2019,30 - 34 years,Both sexes,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Southern,77.8,
2019,30 - 34 years,Female,Less than primary (Level 0),Eastern and Midland,,
2019,30 - 34 years,Female,Less than primary (Level 0),Ireland,,
2019,30 - 34 years,Female,Less than primary (Level 0),Northern and Western,,
2019,30 - 34 years,Female,Less than primary (Level 0),Southern,,
2019,30 - 34 years,Female,Level of education - not stated,Eastern and Midland,68.4,
2019,30 - 34 years,Female,Level of education - not stated,Ireland,65.9,
2019,30 - 34 years,Female,Level of education - not stated,Northern and Western,,
2019,30 - 34 years,Female,Level of education - not stated,Southern,66.8,
2019,30 - 34 years,Female,Levels of Education (Levels  0-8),Eastern and Midland,73.6,
2019,30 - 34 years,Female,Levels of Education (Levels  0-8),Ireland,74.0,
2019,30 - 34 years,Female,Levels of Education (Levels  0-8),Northern and Western,75.2,
2019,30 - 34 years,Female,Levels of Education (Levels  0-8),Southern,74.1,
2019,30 - 34 years,Female,Primary and lower secondary education (Levels 1-2),Eastern and Midland,35.4,
2019,30 - 34 years,Female,Primary and lower secondary education (Levels 1-2),Ireland,34.2,
2019,30 - 34 years,Female,Primary and lower secondary education (Levels 1-2),Northern and Western,,
2019,30 - 34 years,Female,Primary and lower secondary education (Levels 1-2),Southern,,
2019,30 - 34 years,Female,Tertiary education (Levels 5-8),Eastern and Midland,83.3,
2019,30 - 34 years,Female,Tertiary education (Levels 5-8),Ireland,83.5,
2019,30 - 34 years,Female,Tertiary education (Levels 5-8),Northern and Western,83.0,
2019,30 - 34 years,Female,Tertiary education (Levels 5-8),Southern,84.3,
2019,30 - 34 years,Female,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Eastern and Midland,64.8,
