Statistic Label,Year,Age Group,Sex,Education Attainment Level,NUTS 2 Region,UNIT,VALUE
Employment Rate,2019,25 - 29 years,Female,Levels of Education (Levels  0-8),Northern and Western,%,71.8
Employment Rate,2019,25 - 29 years,Female,Levels of Education (Levels  0-8),Southern,%,73.8
Employment Rate,2019,25 - 29 years,Female,Levels of Education (Levels  0-8),Eastern and Midland,%,77.3
Employment Rate,2019,25 - 29 years,Female,Primary and lower secondary education (Levels 1-2),Ireland,%,29.4
Employment Rate,2019,25 - 29 years,Female,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Ireland,%,66.7
Employment Rate,2019,25 - 29 years,Female,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Northern and Western,%,68.5
Employment Rate,2019,25 - 29 years,Female,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Southern,%,66.3
Employment Rate,2019,25 - 29 years,Female,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Eastern and Midland,%,66.3
Employment Rate,2019,25 - 29 years,Female,Tertiary education (Levels 5-8),Ireland,%,84.4
Employment Rate,2019,25 - 29 years,Female,Tertiary education (Levels 5-8),Northern and Western,%,77.9
Employment Rate,2019,25 - 29 years,Female,Tertiary education (Levels 5-8),Southern,%,83.5
Employment Rate,2019,25 - 29 years,Female,Tertiary education (Levels 5-8),Eastern and Midland,%,86.3
Employment Rate,2019,25 - 29 years,Female,Level of education - not stated,Ireland,%,81.1
Employment Rate,2019,25 - 29 years,Female,Level of education - not stated,Eastern and Midland,%,85.9
Employment Rate,2019,30 - 34 years,Both sexes,Levels of Education (Levels  0-8),Ireland,%,80.9
Employment Rate,2019,30 - 34 years,Both sexes,Levels of Education (Levels  0-8),Northern and Western,%,81.3
Employment Rate,2019,30 - 34 years,Both sexes,Levels of Education (Levels  0-8),Southern,%,80.1
Employment Rate,2019,30 - 34 years,Both sexes,Levels of Education (Levels  0-8),Eastern and Midland,%,81.1
Employment Rate,2019,30 - 34 years,Both sexes,Primary and lower secondary education (Levels 1-2),Ireland,%,51.6
Employment Rate,2019,30 - 34 years,Both sexes,Primary and lower secondary education (Levels 1-2),Northern and Western,%,51.0
Employment Rate,2019,30 - 34 years,Both sexes,Primary and lower secondary education (Levels 1-2),Southern,%,50.1
Employment Rate,2019,30 - 34 years,Both sexes,Primary and lower secondary education (Levels 1-2),Eastern and Midland,%,52.4
Employment Rate,2019,30 - 34 years,Both sexes,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Ireland,%,77.3
Employment Rate,2019,30 - 34 years,Both sexes,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Northern and Western,%,80.2
Employment Rate,2019,30 - 34 years,Both sexes,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Southern,%,77.8
Employment Rate,2019,30 - 34 years,Both sexes,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Eastern and Midland,%,76.0
Employment Rate,2019,30 - 34 years,Both sexes,Tertiary education (Levels 5-8),Ireland,%,88.0
Employment Rate,2019,30 - 34 years,Both sexes,Tertiary education (Levels 5-8),Northern and Western,%,87.6
Employment Rate,2019,30 - 34 years,Both sexes,Tertiary education (Levels 5-8),Southern,%,87.4
Employment Rate,2019,30 - 34 years,Both sexes,Tertiary education (Levels 5-8),Eastern and Midland,%,88.3
Employment Rate,2019,30 - 34 years,Both sexes,Level of education - not stated,Ireland,%,76.5
Employment Rate,2019,30 - 34 years,Both sexes,Level of education - not stated,Southern,%,72.0
Employment Rate,2019,30 - 34 years,Both sexes,Level of education - not stated,Eastern and Midland,%,81.5
Employment Rate,2019,30 - 34 years,Male,Levels of Education (Levels  0-8),Ireland,%,88.2
Employment Rate,2019,30 - 34 years,Male,Levels of Education (Levels  0-8),Northern and Western,%,88.2
Employment Rate,2019,30 - 34 years,Male,Levels of Education (Levels  0-8),Southern,%,86.4
Employment Rate,2019,30 - 34 years,Male,Levels of Education (Levels  0-8),Eastern and Midland,%,89.2
Employment Rate,2019,30 - 34 years,Male,Primary and lower secondary education (Levels 1-2),Ireland,%,64.6
Employment Rate,2019,30 - 34 years,Male,Primary and lower secondary education (Levels 1-2),Southern,%,63.0
Employment Rate,2019,30 - 34 years,Male,Primary and lower secondary education (Levels 1-2),Eastern and Midland,%,67.5
Employment Rate,2019,30 - 34 years,Male,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Ireland,%,87.8
Employment Rate,2019,30 - 34 years,Male,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Northern and Western,%,88.5
Employment Rate,2019,30 - 34 years,Male,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Southern,%,88.3
Employment Rate,2019,30 - 34 years,Male,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Eastern and Midland,%,87.2
Employment Rate,2019,30 - 34 years,Male,Tertiary education (Levels 5-8),Ireland,%,93.6
Employment Rate,2019,30 - 34 years,Male,Tertiary education (Levels 5-8),Northern and Western,%,94.4
Employment Rate,2019,30 - 34 years,Male,Tertiary education (Levels 5-8),Southern,%,91.7
Employment Rate,2019,30 - 34 years,Male,Tertiary education (Levels 5-8),Eastern and Midland,%,94.3
Employment Rate,2019,30 - 34 years,Male,Level of education - not stated,Ireland,%,85.3
Employment Rate,2019,30 - 34 years,Male,Level of education - not stated,Southern,%,77.3
Employment Rate,2019,30 - 34 years,Male,Level of education - not stated,Eastern and Midland,%,90.3
Employment Rate,2019,30 - 34 years,Female,Levels of Education (Levels  0-8),Ireland,%,74.0
Employment Rate,2019,30 - 34 years,Female,Levels of Education (Levels  0-8),Northern and Western,%,75.2
Employment Rate,2019,30 - 34 years,Female,Levels of Education (Levels  0-8),Southern,%,74.1
Employment Rate,2019,30 - 34 years,Female,Levels of Education (Levels  0-8),Eastern and Midland,%,73.6
Employment Rate,2019,30 - 34 years,Female,Primary and lower secondary education (Levels 1-2),Ireland,%,34.2
Employment Rate,2019,30 - 34 years,Female,Primary and lower secondary education (Levels 1-2),Eastern and Midland,%,35.4
Employment Rate,2019,30 - 34 years,Female,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Ireland,%,65.8
Employment Rate,2019,30 - 34 years,Female,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Northern and Western,%,70.2
Employment Rate,2019,30 - 34 years,Female,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Southern,%,65.1
Employment Rate,2019,30 - 34 years,Female,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Eastern and Midland,%,64.8
Employment Rate,2019,30 - 34 years,Female,Tertiary education (Levels 5-8),Ireland,%,83.5
Employment Rate,2019,30 - 34 years,Female,Tertiary education (Levels 5-8),Northern and Western,%,83.0
Employment Rate,2019,30 - 34 years,Female,Tertiary education (Levels 5-8),Southern,%,84.3
Employment Rate,2019,30 - 34 years,Female,Tertiary education (Levels 5-8),Eastern and Midland,%,83.3
Employment Rate,2019,30 - 34 years,Female,Level of education - not stated,Ireland,%,65.9
Employment Rate,2019,30 - 34 years,Female,Level of education - not stated,Southern,%,66.8
Employment Rate,2019,30 - 34 years,Female,Level of education - not stated,Eastern and Midland,%,68.4
Employment Rate,2019,35 - 39 years,Both sexes,Levels of Education (Levels  0-8),Ireland,%,81.4
Employment Rate,2019,35 - 39 years,Both sexes,Levels of Education (Levels  0-8),Northern and Western,%,78.2
Employment Rate,2019,35 - 39 years,Both sexes,Levels of Education (Levels  0-8),Southern,%,80.2
Employment Rate,2019,35 - 39 years,Both sexes,Levels of Education (Levels  0-8),Eastern and Midland,%,83.2
Employment Rate,2019,35 - 39 years,Both sexes,Primary and lower secondary education (Levels 1-2),Ireland,%,54.7
Employment Rate,2019,35 - 39 years,Both sexes,Primary and lower secondary education (Levels 1-2),Northern and Western,%,56.0
Employment Rate,2019,35 - 39 years,Both sexes,Primary and lower secondary education (Levels 1-2),Southern,%,50.3
Employment Rate,2019,35 - 39 years,Both sexes,Primary and lower secondary education (Levels 1-2),Eastern and Midland,%,57.3
Employment Rate,2019,35 - 39 years,Both sexes,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Ireland,%,78.7
Employment Rate,2019,35 - 39 years,Both sexes,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Northern and Western,%,76.5
Employment Rate,2019,35 - 39 years,Both sexes,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Southern,%,78.4
Employment Rate,2019,35 - 39 years,Both sexes,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Eastern and Midland,%,79.8
Employment Rate,2019,35 - 39 years,Both sexes,Tertiary education (Levels 5-8),Ireland,%,88.4
Employment Rate,2019,35 - 39 years,Both sexes,Tertiary education (Levels 5-8),Northern and Western,%,84.2
Employment Rate,2019,35 - 39 years,Both sexes,Tertiary education (Levels 5-8),Southern,%,89.0
Employment Rate,2019,35 - 39 years,Both sexes,Tertiary education (Levels 5-8),Eastern and Midland,%,89.1
Employment Rate,2019,35 - 39 years,Both sexes,Level of education - not stated,Ireland,%,77.1
Employment Rate,2019,35 - 39 years,Both sexes,Level of education - not stated,Northern and Western,%,74.8
Employment Rate,2019,35 - 39 years,Both sexes,Level of education - not stated,Southern,%,72.9
Employment Rate,2019,35 - 39 years,Both sexes,Level of education - not stated,Eastern and Midland,%,82.3
Employment Rate,2019,35 - 39 years,Male,Levels of Education (Levels  0-8),Ireland,%,89.1
Employment Rate,2019,35 - 39 years,Male,Levels of Education (Levels  0-8),Northern and Western,%,86.4
Employment Rate,2019,35 - 39 years,Male,Levels of Education (Levels  0-8),Southern,%,87.9
Employment Rate,2019,35 - 39 years,Male,Levels of Education (Levels  0-8),Eastern and Midland,%,90.7
Employment Rate,2019,35 - 39 years,Male,Primary and lower secondary education (Levels 1-2),Ireland,%,67.6
Employment Rate,2019,35 - 39 years,Male,Primary and lower secondary education (Levels 1-2),Northern and Western,%,68.5
Employment Rate,2019,35 - 39 years,Male,Primary and lower secondary education (Levels 1-2),Southern,%,67.0
Employment Rate,2019,35 - 39 years,Male,Primary and lower secondary education (Levels 1-2),Eastern and Midland,%,67.8
Employment Rate,2019,35 - 39 years,Male,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Ireland,%,90.0
Employment Rate,2019,35 - 39 years,Male,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Northern and Western,%,87.1
Employment Rate,2019,35 - 39 years,Male,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Southern,%,89.1
Employment Rate,2019,35 - 39 years,Male,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Eastern and Midland,%,91.8
Employment Rate,2019,35 - 39 years,Male,Tertiary education (Levels 5-8),Ireland,%,93.9
Employment Rate,2019,35 - 39 years,Male,Tertiary education (Levels 5-8),Northern and Western,%,91.9
Employment Rate,2019,35 - 39 years,Male,Tertiary education (Levels 5-8),Southern,%,94.3
Employment Rate,2019,35 - 39 years,Male,Tertiary education (Levels 5-8),Eastern and Midland,%,94.1
Employment Rate,2019,35 - 39 years,Male,Level of education - not stated,Ireland,%,84.8
Employment Rate,2019,35 - 39 years,Male,Level of education - not stated,Southern,%,83.6
Employment Rate,2019,35 - 39 years,Male,Level of education - not stated,Eastern and Midland,%,89.6
Employment Rate,2019,35 - 39 years,Female,Levels of Education (Levels  0-8),Ireland,%,74.2
Employment Rate,2019,35 - 39 years,Female,Levels of Education (Levels  0-8),Northern and Western,%,70.9
Employment Rate,2019,35 - 39 years,Female,Levels of Education (Levels  0-8),Southern,%,72.8
Employment Rate,2019,35 - 39 years,Female,Levels of Education (Levels  0-8),Eastern and Midland,%,76.1
Employment Rate,2019,35 - 39 years,Female,Primary and lower secondary education (Levels 1-2),Ireland,%,38.4
Employment Rate,2019,35 - 39 years,Female,Primary and lower secondary education (Levels 1-2),Southern,%,27.5
Employment Rate,2019,35 - 39 years,Female,Primary and lower secondary education (Levels 1-2),Eastern and Midland,%,45.9
Employment Rate,2019,35 - 39 years,Female,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Ireland,%,65.4
Employment Rate,2019,35 - 39 years,Female,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Northern and Western,%,64.7
Employment Rate,2019,35 - 39 years,Female,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Southern,%,65.2
Employment Rate,2019,35 - 39 years,Female,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Eastern and Midland,%,65.8
Employment Rate,2019,35 - 39 years,Female,Tertiary education (Levels 5-8),Ireland,%,84.2
Employment Rate,2019,35 - 39 years,Female,Tertiary education (Levels 5-8),Northern and Western,%,79.3
Employment Rate,2019,35 - 39 years,Female,Tertiary education (Levels 5-8),Southern,%,85.3
Employment Rate,2019,35 - 39 years,Female,Tertiary education (Levels 5-8),Eastern and Midland,%,85.0
Employment Rate,2019,35 - 39 years,Female,Level of education - not stated,Ireland,%,68.1
Employment Rate,2019,35 - 39 years,Female,Level of education - not stated,Southern,%,60.5
Employment Rate,2019,35 - 39 years,Female,Level of education - not stated,Eastern and Midland,%,75.3
Employment Rate,2019,40 - 44 years,Both sexes,Levels of Education (Levels  0-8),Ireland,%,80.8
