Quarter,Sex,Education Attainment Level,Age Group,Employment_Rate,Unemployment_Rate,Long_term_Unemployment_Rate
2019Q1,Both sexes,Tertiary education (Levels 5-8),All ages,85.0,3.1,0.8
2019Q1,Both sexes,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),15 - 24 years,,10.6,
2019Q1,Both sexes,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),20 - 24 years,60.1,,
2019Q1,Both sexes,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),25 - 29 years,76.3,,
2019Q1,Both sexes,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),25 - 54 years,77.5,4.9,1.9
2019Q1,Both sexes,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),30 - 34 years,77.8,,
2019Q1,Both sexes,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),35 - 39 years,78.5,,
2019Q1,Both sexes,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),40 - 44 years,77.4,,
2019Q1,Both sexes,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),45 - 49 years,77.9,,
2019Q1,Both sexes,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),50 - 54 years,76.9,,
2019Q1,Both sexes,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),55 - 59 years,70.3,,
2019Q1,Both sexes,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),55 - 74 years,,4.1,
2019Q1,Both sexes,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),60 - 64 years,55.5,,
2019Q1,Both sexes,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),All ages,72.1,5.8,2.0
2019Q1,Female,Less than primary (Level 0),15 - 24 years,,,
2019Q1,Female,Less than primary (Level 0),20 - 24 years,,,
2019Q1,Female,Less than primary (Level 0),25 - 29 years,,,
2019Q1,Female,Less than primary (Level 0),25 - 54 years,,,
2019Q1,Female,Less than primary (Level 0),30 - 34 years,,,
2019Q1,Female,Less than primary (Level 0),35 - 39 years,,,
2019Q1,Female,Less than primary (Level 0),40 - 44 years,,,
2019Q1,Female,Less than primary (Level 0),45 - 49 years,,,
2019Q1,Female,Less than primary (Level 0),50 - 54 years,,,
2019Q1,Female,Less than primary (Level 0),55 - 59 years,,,
2019Q1,Female,Less than primary (Level 0),55 - 74 years,,,
2019Q1,Female,Less than primary (Level 0),60 - 64 years,,,
2019Q1,Female,Less than primary (Level 0),All ages,,,
2019Q1,Female,Level of education - not stated,15 - 24 years,,,
2019Q1,Female,Level of education - not stated,20 - 24 years,,,
2019Q1,Female,Level of education - not stated,25 - 29 years,,,
2019Q1,Female,Level of education - not stated,25 - 54 years,72.4,,
2019Q1,Female,Level of education - not stated,30 - 34 years,,,
2019Q1,Female,Level of education - not stated,35 - 39 years,,,
2019Q1,Female,Level of education - not stated,40 - 44 years,,,
2019Q1,Female,Level of education - not stated,45 - 49 years,,,
2019Q1,Female,Level of education - not stated,50 - 54 years,,,
2019Q1,Female,Level of education - not stated,55 - 59 years,,,
2019Q1,Female,Level of education - not stated,55 - 74 years,,,
2019Q1,Female,Level of education - not stated,60 - 64 years,,,
2019Q1,Female,Level of education - not stated,All ages,66.7,,
2019Q1,Female,Levels of Education (Levels  0-8),15 - 24 years,,8.9,
2019Q1,Female,Levels of Education (Levels  0-8),20 - 24 years,63.1,,
2019Q1,Female,Levels of Education (Levels  0-8),25 - 29 years,77.3,,
2019Q1,Female,Levels of Education (Levels  0-8),25 - 54 years,74.1,3.8,1.1
2019Q1,Female,Levels of Education (Levels  0-8),30 - 34 years,74.6,,
2019Q1,Female,Levels of Education (Levels  0-8),35 - 39 years,74.1,,
2019Q1,Female,Levels of Education (Levels  0-8),40 - 44 years,75.8,,
2019Q1,Female,Levels of Education (Levels  0-8),45 - 49 years,73.2,,
2019Q1,Female,Levels of Education (Levels  0-8),50 - 54 years,69.2,,
2019Q1,Female,Levels of Education (Levels  0-8),55 - 59 years,60.4,,
2019Q1,Female,Levels of Education (Levels  0-8),55 - 74 years,,3.8,
2019Q1,Female,Levels of Education (Levels  0-8),60 - 64 years,45.5,,
2019Q1,Female,Levels of Education (Levels  0-8),All ages,69.1,4.4,1.3
2019Q1,Female,Primary and lower secondary education (Levels 1-2),15 - 24 years,,,
2019Q1,Female,Primary and lower secondary education (Levels 1-2),20 - 24 years,,,
2019Q1,Female,Primary and lower secondary education (Levels 1-2),25 - 29 years,,,
2019Q1,Female,Primary and lower secondary education (Levels 1-2),25 - 54 years,44.0,,
2019Q1,Female,Primary and lower secondary education (Levels 1-2),30 - 34 years,,,
2019Q1,Female,Primary and lower secondary education (Levels 1-2),35 - 39 years,43.1,,
2019Q1,Female,Primary and lower secondary education (Levels 1-2),40 - 44 years,46.4,,
2019Q1,Female,Primary and lower secondary education (Levels 1-2),45 - 49 years,51.1,,
2019Q1,Female,Primary and lower secondary education (Levels 1-2),50 - 54 years,43.1,,
2019Q1,Female,Primary and lower secondary education (Levels 1-2),55 - 59 years,40.9,,
2019Q1,Female,Primary and lower secondary education (Levels 1-2),55 - 74 years,,,
2019Q1,Female,Primary and lower secondary education (Levels 1-2),60 - 64 years,32.2,,
2019Q1,Female,Primary and lower secondary education (Levels 1-2),All ages,40.1,8.1,
2019Q1,Female,Tertiary education (Levels 5-8),15 - 24 years,,,
2019Q1,Female,Tertiary education (Levels 5-8),20 - 24 years,82.4,,
2019Q1,Female,Tertiary education (Levels 5-8),25 - 29 years,85.0,,
2019Q1,Female,Tertiary education (Levels 5-8),25 - 54 years,83.9,3.2,
2019Q1,Female,Tertiary education (Levels 5-8),30 - 34 years,83.8,,
2019Q1,Female,Tertiary education (Levels 5-8),35 - 39 years,83.6,,
2019Q1,Female,Tertiary education (Levels 5-8),40 - 44 years,85.9,,
2019Q1,Female,Tertiary education (Levels 5-8),45 - 49 years,82.7,,
2019Q1,Female,Tertiary education (Levels 5-8),50 - 54 years,81.0,,
2019Q1,Female,Tertiary education (Levels 5-8),55 - 59 years,70.9,,
2019Q1,Female,Tertiary education (Levels 5-8),55 - 74 years,,,
2019Q1,Female,Tertiary education (Levels 5-8),60 - 64 years,55.7,,
2019Q1,Female,Tertiary education (Levels 5-8),All ages,81.1,3.1,
2019Q1,Female,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),15 - 24 years,,8.5,
2019Q1,Female,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),20 - 24 years,58.0,,
2019Q1,Female,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),25 - 29 years,71.8,,
2019Q1,Female,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),25 - 54 years,67.4,4.9,
2019Q1,Female,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),30 - 34 years,65.1,,
2019Q1,Female,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),35 - 39 years,64.2,,
2019Q1,Female,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),40 - 44 years,67.1,,
2019Q1,Female,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),45 - 49 years,67.8,,
2019Q1,Female,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),50 - 54 years,69.2,,
2019Q1,Female,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),55 - 59 years,62.8,,
2019Q1,Female,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),55 - 74 years,,5.0,
2019Q1,Female,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),60 - 64 years,47.2,,
2019Q1,Female,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),All ages,63.8,5.6,1.8
2019Q1,Male,Less than primary (Level 0),15 - 24 years,,,
2019Q1,Male,Less than primary (Level 0),20 - 24 years,,,
2019Q1,Male,Less than primary (Level 0),25 - 29 years,,,
2019Q1,Male,Less than primary (Level 0),25 - 54 years,,,
2019Q1,Male,Less than primary (Level 0),30 - 34 years,,,
2019Q1,Male,Less than primary (Level 0),35 - 39 years,,,
2019Q1,Male,Less than primary (Level 0),40 - 44 years,,,
2019Q1,Male,Less than primary (Level 0),45 - 49 years,,,
2019Q1,Male,Less than primary (Level 0),50 - 54 years,,,
2019Q1,Male,Less than primary (Level 0),55 - 59 years,,,
2019Q1,Male,Less than primary (Level 0),55 - 74 years,,,
2019Q1,Male,Less than primary (Level 0),60 - 64 years,,,
2019Q1,Male,Less than primary (Level 0),All ages,,,
2019Q1,Male,Level of education - not stated,15 - 24 years,,,
2019Q1,Male,Level of education - not stated,20 - 24 years,,,
2019Q1,Male,Level of education - not stated,25 - 29 years,,,
2019Q1,Male,Level of education - not stated,25 - 54 years,79.3,,
2019Q1,Male,Level of education - not stated,30 - 34 years,,,
2019Q1,Male,Level of education - not stated,35 - 39 years,,,
2019Q1,Male,Level of education - not stated,40 - 44 years,89.0,,
2019Q1,Male,Level of education - not stated,45 - 49 years,85.5,,
2019Q1,Male,Level of education - not stated,50 - 54 years,,,
2019Q1,Male,Level of education - not stated,55 - 59 years,,,
2019Q1,Male,Level of education - not stated,55 - 74 years,,,
2019Q1,Male,Level of education - not stated,60 - 64 years,,,
2019Q1,Male,Level of education - not stated,All ages,74.3,,
2019Q1,Male,Levels of Education (Levels  0-8),15 - 24 years,,12.9,
2019Q1,Male,Levels of Education (Levels  0-8),20 - 24 years,64.7,,
2019Q1,Male,Levels of Education (Levels  0-8),25 - 29 years,82.8,,
2019Q1,Male,Levels of Education (Levels  0-8),25 - 54 years,86.3,4.3,1.9
2019Q1,Male,Levels of Education (Levels  0-8),30 - 34 years,88.8,,
2019Q1,Male,Levels of Education (Levels  0-8),35 - 39 years,89.5,,
2019Q1,Male,Levels of Education (Levels  0-8),40 - 44 years,87.4,,
2019Q1,Male,Levels of Education (Levels  0-8),45 - 49 years,85.4,,
2019Q1,Male,Levels of Education (Levels  0-8),50 - 54 years,82.7,,
2019Q1,Male,Levels of Education (Levels  0-8),55 - 59 years,77.3,,
2019Q1,Male,Levels of Education (Levels  0-8),55 - 74 years,,3.3,1.8
2019Q1,Male,Levels of Education (Levels  0-8),60 - 64 years,60.6,,
2019Q1,Male,Levels of Education (Levels  0-8),All ages,80.9,5.1,2.1
2019Q1,Male,Primary and lower secondary education (Levels 1-2),15 - 24 years,,,
2019Q1,Male,Primary and lower secondary education (Levels 1-2),20 - 24 years,,,
2019Q1,Male,Primary and lower secondary education (Levels 1-2),25 - 29 years,56.0,,
2019Q1,Male,Primary and lower secondary education (Levels 1-2),25 - 54 years,67.0,8.8,5.4
2019Q1,Male,Primary and lower secondary education (Levels 1-2),30 - 34 years,70.0,,
2019Q1,Male,Primary and lower secondary education (Levels 1-2),35 - 39 years,70.0,,
2019Q1,Male,Primary and lower secondary education (Levels 1-2),40 - 44 years,67.3,,
2019Q1,Male,Primary and lower secondary education (Levels 1-2),45 - 49 years,67.6,,
2019Q1,Male,Primary and lower secondary education (Levels 1-2),50 - 54 years,66.7,,
2019Q1,Male,Primary and lower secondary education (Levels 1-2),55 - 59 years,67.1,,
2019Q1,Male,Primary and lower secondary education (Levels 1-2),55 - 74 years,,,
2019Q1,Male,Primary and lower secondary education (Levels 1-2),60 - 64 years,55.1,,
2019Q1,Male,Primary and lower secondary education (Levels 1-2),All ages,63.7,8.2,4.4
2019Q1,Male,Tertiary education (Levels 5-8),15 - 24 years,,,
2019Q1,Male,Tertiary education (Levels 5-8),20 - 24 years,81.8,,
2019Q1,Male,Tertiary education (Levels 5-8),25 - 29 years,88.7,,
2019Q1,Male,Tertiary education (Levels 5-8),25 - 54 years,92.7,2.6,
2019Q1,Male,Tertiary education (Levels 5-8),30 - 34 years,93.7,,
2019Q1,Male,Tertiary education (Levels 5-8),35 - 39 years,93.9,,
2019Q1,Male,Tertiary education (Levels 5-8),40 - 44 years,94.3,,
2019Q1,Male,Tertiary education (Levels 5-8),45 - 49 years,92.4,,
2019Q1,Male,Tertiary education (Levels 5-8),50 - 54 years,92.8,,
2019Q1,Male,Tertiary education (Levels 5-8),55 - 59 years,85.4,,
2019Q1,Male,Tertiary education (Levels 5-8),55 - 74 years,,,
2019Q1,Male,Tertiary education (Levels 5-8),60 - 64 years,64.6,,
2019Q1,Male,Tertiary education (Levels 5-8),All ages,89.7,3.0,0.9
2019Q1,Male,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),15 - 24 years,,12.4,
2019Q1,Male,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),20 - 24 years,62.1,,
2019Q1,Male,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),25 - 29 years,80.5,,
2019Q1,Male,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),25 - 54 years,86.9,4.9,2.2
2019Q1,Male,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),30 - 34 years,89.0,,
2019Q1,Male,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),35 - 39 years,90.7,,
2019Q1,Male,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),40 - 44 years,86.0,,
2019Q1,Male,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),45 - 49 years,87.9,,
2019Q1,Male,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),50 - 54 years,85.7,,
2019Q1,Male,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),55 - 59 years,79.4,,
2019Q1,Male,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),55 - 74 years,,,
2019Q1,Male,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),60 - 64 years,63.8,,
2019Q1,Male,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),All ages,80.1,6.0,2.2
2019Q2,Both sexes,Less than primary (Level 0),15 - 24 years,,,
2019Q2,Both sexes,Less than primary (Level 0),20 - 24 years,,,
2019Q2,Both sexes,Less than primary (Level 0),25 - 29 years,,,
2019Q2,Both sexes,Less than primary (Level 0),25 - 54 years,,,
2019Q2,Both sexes,Less than primary (Level 0),30 - 34 years,,,
2019Q2,Both sexes,Less than primary (Level 0),35 - 39 years,,,
2019Q2,Both sexes,Less than primary (Level 0),40 - 44 years,,,
2019Q2,Both sexes,Less than primary (Level 0),45 - 49 years,,,
2019Q2,Both sexes,Less than primary (Level 0),50 - 54 years,,,
2019Q2,Both sexes,Less than primary (Level 0),55 - 59 years,,,
2019Q2,Both sexes,Less than primary (Level 0),55 - 74 years,,,
2019Q2,Both sexes,Less than primary (Level 0),60 - 64 years,,,
2019Q2,Both sexes,Less than primary (Level 0),All ages,,,
2019Q2,Both sexes,Level of education - not stated,15 - 24 years,,,
2019Q2,Both sexes,Level of education - not stated,20 - 24 years,,,
2019Q2,Both sexes,Level of education - not stated,25 - 29 years,75.6,,
2019Q2,Both sexes,Level of education - not stated,25 - 54 years,75.2,,
2019Q2,Both sexes,Level of education - not stated,30 - 34 years,71.3,,
2019Q2,Both sexes,Level of education - not stated,35 - 39 years,80.6,,
2019Q2,Both sexes,Level of education - not stated,40 - 44 years,72.4,,
2019Q2,Both sexes,Level of education - not stated,45 - 49 years,78.5,,
2019Q2,Both sexes,Level of education - not stated,50 - 54 years,72.8,,
2019Q2,Both sexes,Level of education - not stated,55 - 59 years,67.5,,
2019Q2,Both sexes,Level of education - not stated,55 - 74 years,,,
2019Q2,Both sexes,Level of education - not stated,60 - 64 years,,,
2019Q2,Both sexes,Level of education - not stated,All ages,71.1,,
2019Q2,Both sexes,Levels of Education (Levels  0-8),15 - 24 years,,15.6,2.8
2019Q2,Both sexes,Levels of Education (Levels  0-8),20 - 24 years,63.9,,
2019Q2,Both sexes,Levels of Education (Levels  0-8),25 - 29 years,79.3,,
2019Q2,Both sexes,Levels of Education (Levels  0-8),25 - 54 years,79.6,4.1,1.4
2019Q2,Both sexes,Levels of Education (Levels  0-8),30 - 34 years,81.0,,
2019Q2,Both sexes,Levels of Education (Levels  0-8),35 - 39 years,81.1,,
2019Q2,Both sexes,Levels of Education (Levels  0-8),40 - 44 years,80.2,,
2019Q2,Both sexes,Levels of Education (Levels  0-8),45 - 49 years,79.3,,
2019Q2,Both sexes,Levels of Education (Levels  0-8),50 - 54 years,75.9,,
2019Q2,Both sexes,Levels of Education (Levels  0-8),55 - 59 years,68.7,,
2019Q2,Both sexes,Levels of Education (Levels  0-8),55 - 74 years,,3.6,2.0
2019Q2,Both sexes,Levels of Education (Levels  0-8),60 - 64 years,52.8,,
2019Q2,Both sexes,Levels of Education (Levels  0-8),All ages,74.5,5.4,1.7
2019Q2,Both sexes,Primary and lower secondary education (Levels 1-2),15 - 24 years,,34.3,
2019Q2,Both sexes,Primary and lower secondary education (Levels 1-2),20 - 24 years,,,
2019Q2,Both sexes,Primary and lower secondary education (Levels 1-2),25 - 29 years,39.8,,
2019Q2,Both sexes,Primary and lower secondary education (Levels 1-2),25 - 54 years,54.8,7.8,4.3
2019Q2,Both sexes,Primary and lower secondary education (Levels 1-2),30 - 34 years,51.5,,
2019Q2,Both sexes,Primary and lower secondary education (Levels 1-2),35 - 39 years,53.2,,
2019Q2,Both sexes,Primary and lower secondary education (Levels 1-2),40 - 44 years,53.7,,
2019Q2,Both sexes,Primary and lower secondary education (Levels 1-2),45 - 49 years,58.9,,
2019Q2,Both sexes,Primary and lower secondary education (Levels 1-2),50 - 54 years,58.0,,
2019Q2,Both sexes,Primary and lower secondary education (Levels 1-2),55 - 59 years,54.5,,
2019Q2,Both sexes,Primary and lower secondary education (Levels 1-2),55 - 74 years,,4.0,
2019Q2,Both sexes,Primary and lower secondary education (Levels 1-2),60 - 64 years,45.5,,
2019Q2,Both sexes,Primary and lower secondary education (Levels 1-2),All ages,51.8,10.2,4.0
2019Q2,Both sexes,Tertiary education (Levels 5-8),15 - 24 years,,7.6,
2019Q2,Both sexes,Tertiary education (Levels 5-8),20 - 24 years,78.9,,
2019Q2,Both sexes,Tertiary education (Levels 5-8),25 - 29 years,87.3,,
2019Q2,Both sexes,Tertiary education (Levels 5-8),25 - 54 years,87.9,2.8,0.7
2019Q2,Both sexes,Tertiary education (Levels 5-8),30 - 34 years,87.9,,
2019Q2,Both sexes,Tertiary education (Levels 5-8),35 - 39 years,87.8,,
2019Q2,Both sexes,Tertiary education (Levels 5-8),40 - 44 years,88.3,,
2019Q2,Both sexes,Tertiary education (Levels 5-8),45 - 49 years,88.1,,
2019Q2,Both sexes,Tertiary education (Levels 5-8),50 - 54 years,87.6,,
2019Q2,Both sexes,Tertiary education (Levels 5-8),55 - 59 years,79.2,,
2019Q2,Both sexes,Tertiary education (Levels 5-8),55 - 74 years,,3.0,
2019Q2,Both sexes,Tertiary education (Levels 5-8),60 - 64 years,59.3,,
2019Q2,Both sexes,Tertiary education (Levels 5-8),All ages,85.0,3.1,0.7
2019Q2,Both sexes,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),15 - 24 years,,14.3,
2019Q2,Both sexes,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),20 - 24 years,61.2,,
2019Q2,Both sexes,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),25 - 29 years,74.6,,
2019Q2,Both sexes,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),25 - 54 years,77.1,5.3,1.9
2019Q2,Both sexes,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),30 - 34 years,78.7,,
2019Q2,Both sexes,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),35 - 39 years,78.8,,
2019Q2,Both sexes,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),40 - 44 years,77.0,,
2019Q2,Both sexes,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),45 - 49 years,77.9,,
2019Q2,Both sexes,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),50 - 54 years,74.9,,
2019Q2,Both sexes,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),55 - 59 years,70.5,,
2019Q2,Both sexes,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),55 - 74 years,,4.1,
2019Q2,Both sexes,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),60 - 64 years,55.7,,
2019Q2,Both sexes,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),All ages,72.0,6.9,2.1
2019Q2,Female,Less than primary (Level 0),15 - 24 years,,,
2019Q2,Female,Less than primary (Level 0),20 - 24 years,,,
2019Q2,Female,Less than primary (Level 0),25 - 29 years,,,
2019Q2,Female,Less than primary (Level 0),25 - 54 years,,,
2019Q2,Female,Less than primary (Level 0),30 - 34 years,,,
2019Q2,Female,Less than primary (Level 0),35 - 39 years,,,
2019Q2,Female,Less than primary (Level 0),40 - 44 years,,,
2019Q2,Female,Less than primary (Level 0),45 - 49 years,,,
2019Q2,Female,Less than primary (Level 0),50 - 54 years,,,
2019Q2,Female,Less than primary (Level 0),55 - 59 years,,,
2019Q2,Female,Less than primary (Level 0),55 - 74 years,,,
2019Q2,Female,Less than primary (Level 0),60 - 64 years,,,
2019Q2,Female,Less than primary (Level 0),All ages,,,
2019Q2,Female,Level of education - not stated,15 - 24 years,,,
2019Q2,Female,Level of education - not stated,20 - 24 years,,,
2019Q2,Female,Level of education - not stated,25 - 29 years,,,
2019Q2,Female,Level of education - not stated,25 - 54 years,70.5,,
2019Q2,Female,Level of education - not stated,30 - 34 years,,,
2019Q2,Female,Level of education - not stated,35 - 39 years,,,
2019Q2,Female,Level of education - not stated,40 - 44 years,,,
2019Q2,Female,Level of education - not stated,45 - 49 years,,,
2019Q2,Female,Level of education - not stated,50 - 54 years,,,
2019Q2,Female,Level of education - not stated,55 - 59 years,,,
2019Q2,Female,Level of education - not stated,55 - 74 years,,,
2019Q2,Female,Level of education - not stated,60 - 64 years,,,
2019Q2,Female,Level of education - not stated,All ages,64.1,,
2019Q2,Female,Levels of Education (Levels  0-8),15 - 24 years,,12.9,
2019Q2,Female,Levels of Education (Levels  0-8),20 - 24 years,64.2,,
2019Q2,Female,Levels of Education (Levels  0-8),25 - 29 years,74.4,,
2019Q2,Female,Levels of Education (Levels  0-8),25 - 54 years,72.8,4.2,1.1
2019Q2,Female,Levels of Education (Levels  0-8),30 - 34 years,74.0,,
2019Q2,Female,Levels of Education (Levels  0-8),35 - 39 years,73.5,,
2019Q2,Female,Levels of Education (Levels  0-8),40 - 44 years,74.1,,
2019Q2,Female,Levels of Education (Levels  0-8),45 - 49 years,73.1,,
2019Q2,Female,Levels of Education (Levels  0-8),50 - 54 years,66.9,,
2019Q2,Female,Levels of Education (Levels  0-8),55 - 59 years,60.0,,
2019Q2,Female,Levels of Education (Levels  0-8),55 - 74 years,,3.7,
2019Q2,Female,Levels of Education (Levels  0-8),60 - 64 years,45.0,,
2019Q2,Female,Levels of Education (Levels  0-8),All ages,68.2,5.2,1.3
